minute,sh,sz
0930,0.57,0.34
0931,0.57,0.10
0932,0.16,-0.04
0933,0.62,0.52
0934,0.38,0.69
0935,-0.06,0.68
0936,-0.04,1.02
0937,-0.11,1.30
0938,0.05,1.91
0939,0.07,2.34
0940,-0.43,1.68
0941,-0.41,1.66
0942,-0.50,1.47
0943,-0.90,1.17
0944,-0.61,1.56
0945,-0.70,1.57
0946,-1.24,1.00
0947,-1.26,1.08
0948,-1.29,1.16
0949,-1.13,1.41
0950,-0.99,1.64
0951,-1.74,0.63
0952,-1.42,0.94
0953,-1.77,0.72
0954,-1.88,0.87
0955,-2.52,0.14
0956,-2.61,0.43
0957,-2.53,0.72
0958,-3.25,0.44
0959,-3.11,0.58
1000,-3.06,0.82
1001,-3.01,0.79
1002,-3.42,0.20
1003,-3.15,0.60
1004,-2.97,0.68
1005,-3.09,0.54
1006,-3.06,0.62
1007,-3.05,0.67
1008,-2.89,0.86
1009,-2.37,1.78
1010,-2.72,1.33
1011,-2.95,1.23
1012,-3.11,1.09
1013,-3.40,0.95
1014,-3.30,0.98
1015,-3.79,0.51
1016,-3.97,0.29
1017,-3.97,0.32
1018,-4.13,0.25
1019,-4.20,0.27
1020,-4.10,0.36
1021,-4.03,0.50
1022,-4.44,0.15
1023,-4.53,0.14
1024,-4.40,0.21
1025,-4.48,0.21
1026,-4.52,0.25
1027,-4.87,-0.02
1028,-4.99,0.05
1029,-5.04,0.27
1030,-4.83,0.49
1031,-4.94,0.37
1032,-4.89,0.46
1033,-4.77,0.73
1034,-5.25,0.46
1035,-5.33,0.46
1036,-5.21,0.55
1037,-5.60,0.09
1038,-6.15,-0.18
1039,-6.18,-0.18
1040,-6.24,-0.14
1041,-6.26,-0.14
1042,-6.10,-0.09
1043,-6.04,0.06
1044,-5.26,0.57
1045,-5.25,0.54
1046,-5.34,0.58
1047,-5.51,0.38
1048,-5.53,0.34
1049,-5.61,0.33
1050,-6.07,-0.11
1051,-6.15,-0.19
1052,-6.14,-0.02
1053,-6.45,-0.15
1054,-6.56,-0.14
1055,-6.35,-0.10
1056,-6.47,-0.09
1057,-7.23,-0.68
1058,-7.38,-0.75
1059,-7.44,-0.76
1100,-7.21,-0.63
1101,-7.43,-0.77
1102,-7.77,-0.93
1103,-7.78,-0.83
1104,-7.66,-0.73
1105,-7.77,-0.77
1106,-7.85,-0.72
1107,-7.99,-0.81
1108,-8.48,-1.19
1109,-8.60,-1.20
1110,-8.64,-1.07
1111,-8.60,-1.08
1112,-8.68,-1.10
1113,-8.84,-1.11
1114,-9.27,-1.29
1115,-9.33,-1.33
1116,-9.37,-1.41
1117,-9.35,-1.37
1118,-9.33,-0.99
1119,-9.34,-1.08
1120,-9.30,-1.03
1121,-9.35,-1.08
1122,-9.43,-1.11
1123,-9.43,-1.05
1124,-9.49,-1.04
1125,-9.58,-1.14
1126,-9.59,-1.16
1127,-9.46,-1.02
1128,-9.43,-1.02
1129,-9.34,-0.83
1130,-9.34,-0.86
1300,-9.25,-0.82
1301,-9.45,-0.77
1302,-9.53,-0.75
1303,-9.55,-0.70
1304,-9.58,-0.76
1305,-9.62,-0.79
1306,-9.59,-0.81
1307,-9.66,-0.83
1308,-9.87,-0.97
1309,-9.97,-0.94
1310,-9.99,-0.87
1311,-9.86,-0.79
1312,-9.78,-0.62
1313,-9.79,-0.59
1314,-9.76,-0.55
1315,-9.73,-0.56
1316,-9.72,-0.50
1317,-9.78,-0.50
1318,-9.73,-0.43
1319,-9.66,-0.17
1320,-9.70,-0.03
1321,-9.71,-0.07
1322,-9.66,-0.06
1323,-9.83,-0.18
1324,-9.85,-0.25
1325,-9.93,-0.20
1326,-10.08,-0.22
1327,-10.23,-0.26
1328,-10.24,-0.20
1329,-10.26,-0.10
1330,-10.34,-0.14
1331,-10.60,-0.45
1332,-10.71,-0.50
1333,-10.78,-0.38
1334,-10.82,-0.34
1335,-10.86,-0.32
1336,-10.87,-0.35
1337,-10.96,-0.40
1338,-11.00,-0.40
1339,-10.97,-0.34
1340,-10.90,-0.16
1341,-10.86,-0.05
1342,-10.94,0.01
1343,-10.99,-0.05
1344,-11.19,-0.23
1345,-11.27,-0.30
1346,-11.32,-0.27
1347,-11.37,-0.19
1348,-11.39,-0.21
1349,-11.46,-0.21
1350,-11.57,-0.26
1351,-11.62,-0.29
1352,-11.71,-0.40
1353,-11.80,-0.46
1354,-11.84,-0.34
1355,-11.83,-0.22
1356,-11.84,-0.13
1357,-11.93,-0.05
1358,-11.98,-0.04
1359,-12.04,-0.11
1400,-12.04,-0.11
1401,-12.14,-0.12
1402,-12.14,-0.12
1403,-12.29,-0.15
1404,-12.34,-0.18
1405,-12.30,-0.13
1406,-12.27,-0.07
1407,-12.34,-0.04
1408,-12.35,-0.05
1409,-12.38,-0.14
1410,-12.44,-0.05
1411,-12.49,-0.02
1412,-12.42,0.03
1413,-12.46,0.09
1414,-12.52,-0.05
1415,-12.52,-0.04
1416,-12.54,0.00
1417,-12.68,-0.09
1418,-12.86,-0.18
1419,-13.03,-0.34
1420,-13.17,-0.44
1421,-13.40,-0.60
1422,-13.44,-0.57
1423,-13.46,-0.49
1424,-13.46,-0.47
1425,-13.47,-0.45
1426,-13.46,-0.36
1427,-13.54,-0.42
1428,-13.58,-0.48
1429,-13.88,-0.70
1430,-13.86,-0.74
1431,-13.86,-0.73
1432,-13.80,-0.63
1433,-13.80,-0.63
1434,-13.79,-0.49
1435,-13.81,-0.54
1436,-14.41,-1.15
1437,-14.50,-1.32
1438,-14.29,-0.76
1439,-14.41,-0.70
1440,-14.50,-0.67
1441,-14.47,-0.65
1442,-14.43,-0.64
1443,-14.50,-0.75
1444,-14.68,-0.82
1445,-14.68,-0.71
1446,-14.75,-0.37
1447,-14.65,-0.02
1448,-14.63,0.25
1449,-14.91,0.40
1450,-14.72,0.50
1451,-14.29,0.79
1452,-14.04,0.99
1453,-13.88,1.02
1454,-13.80,1.05
1455,-14.04,0.95
1456,-14.20,0.91
1457,-14.22,0.76
1458,-14.04,1.07
1459,-13.99,1.11
1500,-12.97,1.11
