minute,sh,sz
0930,0.06,0.07
0931,-0.94,-0.13
0932,-0.74,0.07
0933,-0.74,0.76
0934,-0.72,1.08
0935,-1.60,0.52
0936,-2.30,0.93
0937,-2.33,2.18
0938,-2.81,1.78
0939,-2.82,2.16
0940,-2.77,2.61
0941,-2.68,2.70
0942,-2.61,3.13
0943,-2.74,3.23
0944,-2.48,3.84
0945,-2.38,3.94
0946,-2.65,3.37
0947,-2.28,4.07
0948,-2.13,4.37
0949,-2.75,3.41
0950,-2.67,3.55
0951,-3.00,3.32
0952,-3.17,3.34
0953,-3.37,3.41
0954,-4.25,3.05
0955,-4.39,3.11
0956,-4.39,3.11
0957,-4.39,3.11
0958,-4.47,3.62
0959,-4.80,3.30
1000,-4.83,3.25
1001,-5.20,2.91
1002,-5.39,2.35
1003,-5.41,2.30
1004,-5.44,2.61
1005,-5.53,2.53
1006,-5.66,2.28
1007,-5.72,2.27
1008,-5.97,1.96
1009,-5.96,1.98
1010,-5.95,2.06
1011,-6.45,1.59
1012,-6.54,1.75
1013,-6.72,1.91
1014,-6.71,2.08
1015,-6.78,2.14
1016,-6.66,2.46
1017,-6.71,2.38
1018,-7.00,2.19
1019,-7.06,2.16
1020,-6.91,2.16
1021,-7.12,1.87
1022,-6.91,2.04
1023,-6.67,2.47
1024,-6.70,2.55
1025,-6.74,2.56
1026,-6.81,2.64
1027,-6.92,2.78
1028,-7.06,2.66
1029,-7.18,2.64
1030,-7.18,2.64
1031,-7.34,2.42
1032,-7.14,2.70
1033,-6.98,2.83
1034,-7.32,2.69
1035,-6.98,2.94
1036,-7.40,2.69
1037,-7.38,2.70
1038,-7.31,2.93
1039,-7.34,2.78
1040,-7.18,3.11
1041,-7.03,3.11
1042,-6.90,3.31
1043,-6.94,3.39
1044,-6.90,3.40
1045,-7.00,3.35
1046,-6.94,3.35
1047,-7.00,3.48
1048,-6.99,3.55
1049,-6.95,3.78
1050,-6.99,3.55
1051,-6.95,3.81
1052,-6.90,3.81
1053,-7.32,3.60
1054,-7.32,3.63
1055,-7.44,3.61
1056,-7.74,3.46
1057,-7.89,3.38
1058,-7.96,3.71
1059,-8.21,3.75
1100,-8.26,3.90
1101,-8.56,3.71
1102,-8.55,3.78
1103,-8.49,3.93
1104,-8.51,4.06
1105,-8.50,4.06
1106,-8.37,4.25
1107,-8.33,4.31
1108,-8.31,4.51
1109,-8.24,4.81
1110,-8.19,4.92
1111,-7.95,5.11
1112,-7.94,5.27
1113,-8.05,5.36
1114,-8.05,5.36
1115,-8.05,5.36
1116,-8.28,6.04
1117,-8.31,6.15
1118,-8.34,6.43
1119,-8.26,6.63
1120,-8.27,6.72
1121,-8.49,6.50
1122,-8.46,6.72
1123,-8.49,6.82
1124,-8.53,6.96
1125,-8.56,7.17
1126,-8.58,7.23
1127,-8.60,7.36
1128,-8.59,7.50
1129,-8.55,7.58
1130,-8.73,7.55
1300,-8.70,7.60
1301,-9.00,7.42
1302,-9.09,7.42
1303,-9.24,7.34
1304,-9.30,7.33
1305,-9.36,7.36
1306,-9.58,7.26
1307,-9.68,7.25
1308,-9.68,7.25
1309,-9.68,7.25
1310,-9.74,7.59
1311,-9.82,7.55
1312,-9.84,7.61
1313,-9.91,7.68
1314,-9.89,7.78
1315,-9.96,7.78
1316,-9.99,7.79
1317,-9.97,7.76
1318,-9.98,7.69
1319,-10.19,7.39
1320,-10.20,7.36
1321,-10.50,7.34
1322,-10.56,7.60
1323,-10.55,7.70
1324,-10.59,7.74
1325,-10.60,7.80
1326,-10.55,8.01
1327,-10.55,8.06
1328,-10.55,8.28
1329,-10.54,8.35
1330,-10.53,8.41
1331,-10.52,8.50
1332,-10.53,8.71
1333,-10.49,8.84
1334,-10.50,8.95
1335,-10.53,9.01
1336,-10.51,9.12
1337,-10.64,9.26
1338,-10.62,9.26
1339,-10.69,9.30
1340,-11.37,8.94
1341,-11.94,8.77
1342,-11.90,9.05
1343,-11.99,9.15
1344,-11.91,9.27
1345,-11.88,9.47
1346,-11.68,9.98
1347,-11.68,10.08
1348,-11.71,10.11
1349,-11.67,10.18
1350,-11.67,10.36
1351,-11.70,10.59
1352,-11.60,10.74
1353,-11.59,10.78
1354,-11.66,10.87
1355,-11.66,10.87
1356,-11.66,10.87
1357,-11.76,11.02
1358,-11.83,11.08
1359,-11.88,11.08
1400,-11.89,11.18
1401,-11.82,11.33
1402,-11.78,11.47
1403,-11.75,11.54
1404,-11.79,11.57
1405,-11.76,11.69
1406,-11.79,11.71
1407,-11.81,11.77
1408,-11.80,11.90
1409,-11.83,11.94
1410,-11.84,12.08
1411,-11.77,12.36
1412,-11.84,12.32
1413,-11.85,12.35
1414,-11.87,12.46
1415,-11.94,12.53
1416,-12.00,12.53
1417,-12.05,12.53
1418,-12.07,12.54
1419,-12.08,12.62
1420,-12.11,12.67
1421,-12.04,12.80
1422,-12.13,12.98
1423,-12.17,12.98
1424,-12.16,13.10
1425,-12.15,13.23
1426,-12.34,13.19
1427,-12.41,13.19
1428,-12.41,13.19
