minute,sh,sz
0930,0.87,0.59
0931,1.07,0.36
0932,1.73,0.79
0933,3.45,1.92
0934,4.40,2.08
0935,4.40,2.08
0936,4.40,2.08
0937,6.59,2.40
0938,6.85,1.78
0939,7.37,2.12
0940,7.82,2.07
0941,7.92,1.96
0942,8.35,2.11
0943,9.13,2.73
0944,9.60,3.25
0945,9.50,2.93
0946,9.30,2.26
0947,9.89,2.30
0948,11.56,3.54
0949,12.67,3.81
0950,12.95,3.35
0951,13.61,3.37
0952,14.21,3.20
0953,14.54,2.71
0954,15.48,2.89
0955,15.90,3.26
0956,16.68,3.78
0957,16.58,3.14
0958,16.98,3.34
0959,17.09,3.31
1000,16.98,3.04
1001,18.15,3.50
1002,19.31,5.02
1003,20.14,5.54
1004,20.88,5.84
1005,20.88,5.84
1006,20.88,5.84
1007,24.10,7.80
1008,24.39,7.81
1009,25.10,8.23
1010,25.10,8.23
1011,25.10,8.23
1012,26.76,9.61
1013,26.78,9.61
1014,27.19,9.84
1015,27.11,9.72
1016,28.02,10.34
1017,28.02,10.34
1018,28.02,10.34
1019,28.88,11.01
1020,28.51,11.06
1021,28.51,11.06
1022,28.51,11.06
1023,29.77,12.30
1024,29.77,12.33
1025,29.75,12.17
1026,30.62,12.55
1027,30.41,12.27
1028,29.75,11.71
1029,29.52,11.60
1030,29.68,11.83
1031,29.77,11.81
1032,29.93,11.94
1033,30.03,11.96
1034,30.06,11.86
1035,30.50,12.28
1036,30.63,12.29
1037,30.72,12.36
1038,30.76,12.39
1039,31.53,12.77
1040,31.68,12.90
1041,31.76,12.90
1042,32.44,13.25
1043,32.54,13.26
1044,32.57,13.30
1045,32.64,13.26
1046,32.64,13.26
1047,33.45,13.86
1048,33.41,13.80
1049,33.38,13.74
1050,33.39,13.74
1051,33.32,13.29
1052,33.48,13.42
1053,33.56,13.47
1054,33.58,13.48
1055,33.63,13.55
1056,33.60,13.55
1057,33.76,13.67
1058,34.45,14.25
1059,34.50,14.22
1100,34.54,14.17
1101,35.00,14.51
1102,35.14,14.56
1103,35.22,14.51
1104,35.71,14.96
1105,35.87,15.00
1106,35.86,14.97
1107,35.97,15.03
1108,36.21,15.20
1109,36.47,15.41
1110,36.50,15.43
1111,36.52,15.42
1112,37.21,16.43
1113,37.13,16.56
1114,37.20,16.50
1115,37.15,16.51
1116,37.15,16.51
1117,37.46,16.65
1118,37.50,16.64
1119,37.56,16.69
1120,37.56,16.62
1121,37.44,16.48
1122,37.43,16.44
1123,37.44,16.44
1124,37.35,16.43
1125,37.31,16.42
1126,37.17,16.25
1127,37.17,16.25
1128,37.17,16.25
1129,37.29,16.42
1130,37.21,16.34
1300,37.26,16.38
1301,37.43,16.59
1302,37.46,16.56
1303,37.49,16.53
1304,37.63,16.59
1305,37.90,16.54
1306,38.01,16.56
1307,38.05,16.53
1308,38.05,16.44
1309,38.35,16.41
1310,38.32,16.41
1311,38.30,16.40
1312,38.35,16.43
1313,38.38,16.46
1314,38.37,16.43
1315,38.34,16.33
1316,38.25,16.21
1317,38.10,16.18
1318,38.14,16.42
1319,38.10,16.50
1320,38.04,16.41
1321,38.08,16.53
1322,38.17,16.46
1323,38.23,16.44
1324,38.28,16.42
1325,38.28,16.42
1326,38.28,16.42
1327,38.35,16.42
1328,38.07,16.25
1329,37.95,16.31
1330,37.96,16.36
1331,37.96,16.36
1332,37.96,16.36
1333,38.14,16.55
1334,38.18,16.57
1335,38.21,16.72
1336,38.04,16.65
1337,37.94,16.68
1338,37.93,16.70
1339,38.03,16.79
1340,38.10,16.81
1341,38.13,16.92
1342,38.27,17.05
1343,38.35,17.16
1344,38.38,17.22
1345,38.38,17.22
1346,37.97,17.37
1347,38.07,17.40
1348,38.06,17.41
1349,38.24,17.40
1350,38.32,17.37
1351,38.28,17.22
1352,38.39,17.22
1353,38.38,17.26
1354,38.46,17.45
1355,38.49,17.49
1356,38.52,17.48
1357,38.64,17.52
1358,38.64,17.52
1359,38.64,17.52
1400,38.94,17.81
1401,38.97,17.85
1402,38.97,17.85
1403,38.97,17.85
1404,39.05,17.91
1405,39.19,17.97
1406,39.41,18.16
1407,39.48,18.24
1408,39.54,18.30
1409,39.54,18.30
1410,39.54,18.30
1411,39.79,18.43
1412,39.89,18.45
1413,40.01,18.41
1414,40.12,18.44
1415,40.08,18.44
1416,39.98,18.27
1417,39.94,18.37
1418,40.16,18.50
1419,40.31,18.69
1420,40.41,18.72
1421,40.43,18.66
1422,40.60,18.73
1423,40.64,18.75
1424,40.79,18.77
1425,40.84,18.79
1426,40.84,18.79
1427,40.84,18.79
1428,41.02,18.84
1429,41.20,18.85
1430,41.40,18.84
1431,41.40,18.84
1432,41.88,19.11
1433,41.94,19.11
1434,41.84,19.11
1435,41.93,19.10
1436,41.94,19.17
1437,41.98,19.13
1438,42.07,19.09
1439,41.88,18.98
1440,41.77,18.93
1441,41.80,18.86
1442,41.75,18.79
1443,41.81,18.74
1444,41.89,18.76
1445,41.78,18.52
1446,41.75,18.52
1447,41.75,18.37
1448,41.75,18.37
1449,41.89,18.53
1450,41.86,18.64
1451,42.06,18.87
1452,42.13,18.85
1453,42.40,19.10
1454,42.59,19.38
1455,42.78,19.53
1456,42.96,19.54
1457,42.80,19.38
1458,44.30,20.14
1459,44.42,20.25
1500,45.76,21.31
