minute,sh,sz
0930,-0.63,0.03
0931,-0.63,0.12
0932,-0.63,0.12
0933,-1.48,-0.40
0934,-1.60,1.17
0935,-2.09,0.95
0936,-2.47,1.25
0937,-2.42,2.03
0938,-2.44,2.45
0939,-3.06,1.95
0940,-2.92,2.49
0941,-2.67,3.41
0942,-2.97,2.93
0943,-2.97,3.16
0944,-3.47,2.45
0945,-3.51,2.41
0946,-3.32,2.97
0947,-3.25,3.09
0948,-3.25,2.94
0949,-3.31,2.85
0950,-3.24,2.84
0951,-3.47,2.61
0952,-4.02,2.05
0953,-3.90,1.91
0954,-3.88,2.27
0955,-3.83,2.39
0956,-3.85,2.56
0957,-3.79,2.74
0958,-3.77,2.73
0959,-3.82,2.60
1000,-4.01,2.30
1001,-4.24,1.91
1002,-4.06,2.30
1003,-4.06,1.91
1004,-4.06,1.74
1005,-4.40,1.74
1006,-4.76,0.85
1007,-4.85,0.72
1008,-4.71,0.85
1009,-4.83,0.81
1010,-4.99,0.70
1011,-4.95,1.37
1012,-5.03,1.40
1013,-4.98,1.63
1014,-4.98,1.63
1015,-4.98,1.63
1016,-4.91,1.83
1017,-4.91,1.81
1018,-5.02,1.64
1019,-5.28,1.43
1020,-5.46,1.37
1021,-5.48,1.47
1022,-5.64,1.43
1023,-5.71,1.37
1024,-5.89,1.36
1025,-5.92,1.28
1026,-5.76,1.39
1027,-5.70,1.52
1028,-5.64,1.58
1029,-5.56,1.68
1030,-5.58,1.68
1031,-5.58,1.54
1032,-5.49,1.54
1033,-5.51,1.57
1034,-5.55,1.53
1035,-5.56,1.52
1036,-5.49,1.55
1037,-5.51,1.68
1038,-5.41,2.07
1039,-5.46,2.11
1040,-5.45,2.20
1041,-5.46,2.24
1042,-5.50,2.11
1043,-5.50,2.08
1044,-5.55,2.04
1045,-5.57,2.10
1046,-5.62,2.20
1047,-5.74,1.89
1048,-5.77,1.80
1049,-5.83,1.78
1050,-5.75,1.73
1051,-5.85,1.73
1052,-5.86,1.84
1053,-5.88,1.76
1054,-5.86,1.78
1055,-5.80,1.80
1056,-5.80,1.82
