minute,sh,sz
0930,-0.96,-0.09
0931,-3.64,-1.18
0932,-5.57,-1.59
0933,-3.64,-1.35
0934,-10.32,-1.59
0935,-10.32,-2.96
0936,-10.32,-2.96
0937,-14.67,-2.67
0938,-16.57,-3.60
0939,-16.80,-3.20
0940,-18.36,-3.66
0941,-20.02,-4.59
0942,-20.80,-4.87
0943,-22.59,-5.82
0944,-24.55,-7.57
0945,-24.17,-6.58
0946,-25.34,-7.07
0947,-25.67,-6.85
0948,-26.55,-7.02
0949,-28.05,-7.90
0950,-28.74,-8.28
0951,-29.44,-8.77
0952,-30.21,-9.30
0953,-29.88,-8.94
0954,-30.92,-9.26
0955,-28.76,-8.12
0956,-29.15,-8.71
0957,-29.14,-8.84
0958,-29.66,-9.50
0959,-30.00,-9.95
1000,-30.60,-10.63
1001,-30.36,-10.21
1002,-30.18,-10.00
1003,-30.61,-10.34
1004,-30.50,-10.24
1005,-30.58,-10.26
1006,-30.26,-9.76
1007,-31.00,-10.06
1008,-31.02,-10.14
1009,-31.06,-10.05
1010,-30.77,-9.71
1011,-30.74,-9.55
1012,-31.27,-9.95
1013,-31.32,-9.85
1014,-31.37,-9.77
1015,-31.21,-9.38
1016,-31.17,-9.26
1017,-31.14,-9.21
1018,-31.14,-9.21
1019,-31.14,-9.21
1020,-30.24,-7.61
1021,-30.01,-7.22
1022,-30.23,-7.58
1023,-30.19,-7.44
1024,-30.22,-7.38
1025,-30.07,-7.33
1026,-29.66,-7.09
1027,-29.72,-7.27
1028,-29.65,-7.33
1029,-29.31,-7.26
1030,-29.19,-7.21
1031,-27.97,-6.55
1032,-27.73,-6.32
1033,-27.73,-6.32
1034,-27.84,-6.75
1035,-27.83,-6.75
1036,-27.68,-6.49
1037,-27.78,-6.73
1038,-27.66,-6.58
1039,-27.45,-6.38
1040,-27.30,-6.23
1041,-27.27,-6.32
1042,-26.63,-5.67
1043,-26.73,-5.76
1044,-26.80,-5.80
1045,-27.04,-5.94
1046,-27.03,-6.21
1047,-26.63,-5.57
1048,-26.94,-5.66
1049,-26.77,-5.44
1050,-25.14,-4.36
1051,-25.30,-4.08
1052,-25.19,-4.14
1053,-25.40,-4.33
1054,-25.47,-4.35
1055,-25.55,-4.41
1056,-25.60,-4.38
1057,-25.75,-4.64
1058,-25.96,-4.90
1059,-26.04,-4.79
1100,-25.99,-4.68
1101,-25.97,-4.54
1102,-26.02,-4.32
1103,-25.40,-3.69
1104,-25.33,-3.67
1105,-25.30,-3.71
1106,-24.75,-2.94
1107,-24.86,-2.95
1108,-24.58,-2.66
1109,-24.27,-2.23
1110,-24.28,-2.13
1111,-24.35,-2.19
1112,-23.55,-1.88
1113,-23.47,-1.68
1114,-23.57,-1.81
1115,-23.37,-1.58
1116,-23.37,-1.58
1117,-23.37,-1.58
1118,-22.54,-0.44
1119,-22.69,-0.56
1120,-22.20,-0.09
1121,-21.28,0.40
1122,-21.11,0.69
1123,-20.86,0.92
1124,-20.78,0.94
1125,-20.69,0.97
1126,-20.77,0.93
1127,-20.39,1.23
1128,-19.47,1.66
1129,-18.70,2.32
1130,-19.00,2.26
1300,-18.82,2.45
1301,-19.23,2.46
1302,-19.53,2.24
1303,-19.49,2.10
1304,-19.84,1.98
1305,-19.81,2.19
1306,-19.26,2.71
1307,-19.61,2.71
1308,-20.03,2.29
1309,-20.13,2.34
1310,-20.12,2.36
1311,-20.19,2.34
1312,-20.25,2.18
1313,-20.61,1.94
1314,-20.55,1.99
1315,-20.59,2.10
1316,-20.43,2.21
1317,-20.38,2.25
1318,-20.35,2.13
1319,-20.41,1.98
1320,-20.41,2.02
1321,-20.47,1.84
1322,-20.49,1.75
1323,-20.39,1.87
1324,-20.29,2.04
1325,-20.13,2.46
1326,-20.03,2.69
1327,-20.08,2.68
1328,-20.08,2.68
1329,-20.08,2.68
1330,-19.94,2.84
1331,-19.86,3.17
1332,-19.64,3.61
1333,-19.70,3.78
1334,-19.72,3.75
1335,-19.72,3.75
1336,-19.72,3.75
1337,-19.86,3.67
1338,-19.89,3.73
1339,-19.91,3.84
1340,-19.89,3.86
1341,-19.89,3.86
1342,-19.89,3.86
1343,-19.87,4.02
1344,-20.03,4.07
1345,-19.95,4.18
