minute,sh,sz
0930,-1.38,-0.17
0931,-2.29,-1.34
0932,0.50,-1.31
0933,-3.47,-2.05
0934,-3.63,-1.93
0935,-4.04,0.44
0936,-4.78,-2.24
0937,0.53,-4.52
0938,-7.90,-4.63
0939,0.53,-4.45
0940,-9.31,-4.71
0941,0.53,-3.80
0942,-11.02,-4.58
0943,-11.49,-4.82
0944,-12.98,-5.38
0945,-14.44,-6.56
0946,-14.44,-6.67
0947,-15.62,-6.86
0948,-15.83,-6.87
0949,-2.19,-7.95
0950,-16.95,-2.24
0951,-17.62,-8.13
0952,-17.83,-8.01
0953,-18.20,-7.90
0954,-18.79,-8.22
0955,-19.03,-8.14
0956,-19.07,-7.99
0957,-19.63,-8.52
0958,-21.42,-9.47
0959,-21.71,-9.49
1000,-22.37,-9.52
1001,-22.37,-10.03
1002,-23.97,-10.34
1003,-24.26,-10.20
1004,-24.31,-10.31
1005,-24.43,-10.23
1006,-24.30,-10.11
1007,-25.69,-11.18
1008,-26.42,-11.54
1009,-26.37,-11.41
1010,-26.37,-11.38
1011,-27.04,-11.69
1012,-27.00,-11.63
1013,-27.07,-11.69
1014,-27.24,-11.83
1015,-27.28,-11.96
1016,-27.24,-11.87
1017,-27.46,-12.09
1018,-27.50,-12.01
1019,-27.55,-12.04
1020,-27.62,-12.07
1021,-27.64,-12.11
1022,-27.82,-12.15
1023,-28.51,-12.93
1024,-28.76,-13.04
1025,-28.92,-13.02
1026,-28.96,-12.80
1027,-29.52,-13.20
1028,-29.78,-13.25
1029,-30.61,-13.88
1030,-30.60,-13.90
1031,-30.83,-13.77
1032,-30.88,-13.69
1033,-31.37,-13.89
1034,-31.90,-14.17
1035,-32.00,-14.28
1036,-32.05,-14.27
1037,-32.33,-14.41
1038,-32.56,-14.54
1039,-32.57,-14.49
1040,-32.61,-14.55
1041,-32.68,-14.52
1042,-32.73,-14.49
1043,-32.64,-14.31
1044,-32.71,-14.32
1045,-32.74,-14.27
1046,-32.75,-14.19
1047,-32.80,-14.27
1048,-33.04,-14.24
1049,-33.11,-14.22
1050,-33.19,-14.22
1051,-33.09,-14.23
1052,-33.19,-14.15
1053,-33.21,-14.22
1054,-33.24,-14.23
1055,-33.25,-14.29
1056,-33.16,-14.25
1057,-33.22,-14.25
1058,-33.13,-14.29
1059,-33.39,-14.36
1100,-33.40,-14.33
1101,-33.70,-14.64
1102,-33.86,-14.88
1103,-33.97,-14.97
1104,-33.97,-15.11
1105,-34.08,-15.18
1106,-34.16,-15.21
1107,-34.18,-15.32
1108,-34.23,-15.31
1109,-34.32,-15.38
1110,-34.37,-15.41
1111,-34.53,-15.61
1112,-34.65,-15.58
1113,-35.68,-16.11
1114,-36.06,-16.22
1115,-36.06,-15.99
1116,-35.98,-15.91
1117,-35.93,-15.83
1118,-36.02,-15.81
1119,-36.03,-15.77
1120,-36.09,-15.74
1121,-36.04,-15.63
1122,-35.65,-15.21
1123,-35.81,-15.19
1124,-35.88,-15.19
1125,-36.00,-15.19
1126,-36.05,-15.25
1127,-36.12,-15.24
1128,-36.18,-15.28
1129,-36.20,-15.27
1130,-36.38,-15.38
1300,-36.33,-15.34
1301,-36.88,-16.04
1302,-36.89,-15.98
1303,-36.86,-16.04
1304,-36.89,-16.06
1305,-36.85,-16.07
1306,-36.84,-15.98
1307,-36.84,-15.96
1308,-36.86,-15.95
1309,-36.83,-15.90
1310,-36.77,-15.88
1311,-36.69,-15.99
1312,-36.63,-16.01
1313,-36.62,-15.84
1314,-36.68,-15.78
1315,-36.66,-15.91
1316,-36.70,-15.96
1317,-36.66,-15.92
1318,-36.61,-15.98
1319,-36.62,-15.96
1320,-36.57,-16.04
1321,-36.44,-15.82
1322,-36.36,-15.92
1323,-36.24,-15.98
1324,-36.36,-16.00
1325,-36.58,-16.03
1326,-36.60,-16.12
1327,-36.77,-16.20
1328,-36.81,-16.27
1329,-36.70,-16.27
1330,-36.67,-16.32
1331,-36.67,-16.28
1332,-36.64,-16.18
1333,-36.64,-16.15
1334,-36.61,-16.30
1335,-36.58,-16.32
1336,-36.54,-16.32
1337,-36.52,-16.30
1338,-36.55,-16.26
1339,-36.51,-16.15
1340,-36.49,-16.21
1341,-36.38,-16.22
1342,-36.30,-16.23
1343,-36.27,-16.30
1344,-36.06,-16.10
1345,-36.06,-16.10
1346,-36.06,-16.10
1347,-35.88,-15.96
1348,-35.86,-15.94
1349,-35.89,-15.93
1350,-35.79,-15.73
1351,-35.87,-15.76
1352,-35.99,-15.86
1353,-36.01,-15.88
1354,-35.99,-15.96
1355,-36.13,-16.12
1356,-36.26,-16.25
1357,-36.24,-16.32
1358,-36.20,-16.35
1359,-36.21,-16.35
1400,-36.24,-16.28
1401,-36.19,-16.28
1402,-36.21,-16.24
1403,-36.20,-16.35
1404,-36.39,-16.44
1405,-36.40,-16.47
1406,-36.43,-16.46
1407,-36.38,-16.34
1408,-36.49,-16.38
1409,-36.44,-16.32
1410,-36.86,-16.53
1411,-36.91,-16.62
1412,-37.08,-16.69
1413,-37.22,-16.73
1414,-37.49,-16.87
1415,-37.57,-17.00
1416,-37.69,-17.08
1417,-37.80,-17.21
1418,-37.94,-17.28
1419,-38.02,-17.24
1420,-38.04,-17.23
1421,-38.00,-17.06
1422,-38.17,-17.31
1423,-38.32,-17.47
1424,-38.40,-17.74
1425,-38.45,-17.84
1426,-38.51,-17.95
1427,-38.59,-17.96
1428,-38.68,-18.03
1429,-38.71,-18.02
1430,-38.55,-18.02
1431,-38.50,-17.87
1432,-38.55,-17.96
1433,-38.70,-18.17
1434,-38.81,-18.31
1435,-38.92,-18.51
1436,-39.00,-18.51
1437,-39.04,-18.52
1438,-39.24,-18.73
1439,-39.70,-19.01
1440,-39.92,-19.02
1441,-40.07,-19.14
1442,-40.13,-19.05
1443,-40.14,-19.08
1444,-40.32,-19.19
1445,-40.53,-19.22
1446,-41.29,-19.67
1447,-41.64,-19.86
1448,-42.51,-20.19
1449,-43.04,-20.26
1450,-43.31,-20.30
1451,-43.82,-20.60
1452,-43.99,-20.69
1453,-44.17,-20.58
1454,-44.60,-20.69
1455,-44.82,-20.84
1456,-45.04,-20.72
1457,-45.41,-20.91
1458,-45.13,-20.21
1459,-44.90,-20.15
1500,-43.83,-19.00
