minute,sh,sz
0930,0.11,0.08
0931,0.37,0.14
0932,0.50,0.44
0933,0.92,1.09
0934,0.92,1.23
0935,1.46,1.44
0936,1.52,1.38
0937,1.67,1.29
0938,1.77,1.25
0939,1.32,0.68
0940,1.34,0.26
0941,1.69,0.50
0942,1.58,0.67
0943,1.44,0.51
0944,1.30,0.30
0945,1.46,0.30
0946,1.39,0.09
0947,1.39,0.42
0948,0.26,-1.34
0949,1.01,-0.60
0950,0.98,-0.53
0951,2.19,0.72
0952,4.61,2.26
0953,4.82,1.81
0954,4.81,1.62
0955,5.67,2.11
0956,6.20,2.49
0957,5.72,2.00
0958,5.92,2.07
0959,5.82,1.98
1000,6.23,2.22
1001,6.23,2.22
1002,7.76,3.42
1003,7.70,3.30
1004,7.73,3.18
1005,7.27,2.67
1006,7.78,3.12
1007,7.94,3.41
1008,7.96,3.31
1009,8.19,3.47
1010,9.21,4.09
1011,9.68,4.45
1012,9.44,3.97
1013,9.69,3.95
1014,9.57,3.92
1015,9.44,3.82
1016,9.30,3.78
1017,8.89,3.37
1018,8.91,3.28
1019,8.99,3.29
1020,8.88,3.21
1021,8.94,3.26
1022,9.08,3.33
1023,8.91,3.16
1024,8.92,2.97
1025,8.70,2.80
1026,8.22,2.29
1027,8.27,2.27
1028,8.36,2.34
1029,8.52,2.55
1030,8.55,2.54
1031,8.34,2.31
1032,8.19,2.17
1033,8.16,2.18
1034,8.14,2.12
1035,7.97,1.93
1036,8.15,2.07
1037,8.27,2.12
1038,8.28,2.07
1039,8.39,2.15
1040,8.40,2.20
1041,8.44,2.16
1042,8.54,2.25
1043,8.54,2.32
1044,8.55,2.27
1045,8.24,1.93
1046,8.13,1.89
1047,8.15,1.93
1048,8.03,1.92
1049,7.90,1.91
1050,7.89,1.90
1051,7.73,1.86
1052,7.68,1.85
1053,7.66,1.90
1054,7.65,1.91
1055,7.82,2.19
1056,7.79,2.28
1057,7.76,2.37
1058,7.78,2.39
1059,8.02,2.64
1100,8.07,2.68
1101,10.05,4.68
1102,9.92,4.57
1103,9.73,4.33
1104,9.60,4.21
1105,9.63,4.25
1106,9.72,4.26
1107,9.83,4.34
1108,9.90,4.33
1109,10.65,4.95
1110,10.67,4.95
1111,10.69,4.95
1112,10.90,5.07
1113,11.49,5.48
1114,11.65,5.54
1115,11.69,5.36
1116,12.53,5.71
1117,13.86,7.33
1118,13.71,6.92
1119,13.71,6.83
1120,13.66,6.84
1121,13.42,6.59
1122,13.20,6.49
1123,13.26,6.56
1124,13.23,6.52
1125,13.16,6.53
1126,13.24,6.56
1127,13.28,6.56
1128,13.28,6.54
1129,13.26,6.47
1130,13.13,6.44
1300,13.22,6.49
1301,13.18,6.59
1302,12.39,6.24
1303,12.52,6.42
1304,12.54,6.45
1305,12.41,6.47
1306,12.40,6.47
1307,12.20,6.34
1308,12.28,6.49
1309,12.34,6.60
1310,12.37,6.69
1311,12.39,6.75
1312,12.36,6.77
1313,12.43,6.97
1314,12.53,7.10
1315,12.58,7.17
1316,12.60,7.38
1317,12.70,7.54
1318,12.67,7.55
1319,12.49,7.38
1320,12.45,7.41
1321,12.46,7.34
1322,12.38,7.37
1323,12.38,7.37
1324,12.83,7.75
1325,12.91,7.92
1326,12.89,7.98
1327,12.92,7.99
1328,12.93,7.91
1329,12.98,7.95
1330,13.10,8.08
1331,13.28,8.21
1332,13.61,8.33
1333,13.74,8.30
1334,13.77,8.33
1335,13.90,8.33
1336,13.80,8.26
1337,13.72,8.04
1338,13.72,8.01
1339,13.76,8.07
1340,13.51,7.79
1341,13.56,7.71
1342,13.54,7.64
1343,13.58,7.63
1344,13.64,7.68
1345,13.79,7.93
1346,13.94,8.00
1347,13.90,7.86
1348,13.67,7.70
1349,13.73,7.77
1350,13.70,7.75
1351,13.59,7.70
1352,13.54,7.71
1353,13.60,7.71
1354,13.80,7.99
1355,13.91,8.10
1356,13.97,8.14
1357,13.87,7.96
1358,13.78,7.99
1359,13.96,8.12
1400,14.01,8.15
1401,13.55,7.85
1402,13.43,7.73
1403,13.46,7.95
1404,13.34,8.02
1405,13.20,8.00
1406,13.13,7.98
1407,13.03,8.00
1408,13.02,7.96
1409,12.98,7.94
1410,13.04,7.92
1411,13.05,7.98
1412,13.06,8.04
1413,12.93,7.91
1414,12.88,7.91
1415,12.86,7.80
1416,12.86,7.65
1417,12.92,7.74
1418,12.89,7.78
1419,12.95,7.74
1420,12.85,7.83
1421,12.92,7.95
1422,12.95,8.03
1423,13.01,8.11
1424,12.89,7.94
1425,12.91,8.04
1426,12.98,8.17
1427,13.04,8.17
1428,13.00,8.08
1429,13.08,8.09
1430,13.04,8.13
1431,12.99,8.14
1432,13.04,8.32
1433,13.28,8.49
1434,12.65,7.98
1435,12.29,7.73
1436,12.24,7.72
1437,12.13,7.74
1438,12.07,7.81
1439,11.94,7.75
1440,11.84,7.72
1441,11.77,7.72
1442,11.78,7.78
1443,11.63,7.74
1444,11.55,7.86
1445,11.52,7.93
1446,11.27,7.88
1447,11.10,8.00
1448,11.14,8.19
1449,11.26,8.37
1450,11.19,8.26
1451,11.02,8.24
1452,11.00,8.11
1453,10.74,8.04
1454,10.31,7.91
1455,10.10,7.94
1456,9.71,7.80
1457,9.20,7.51
1458,9.48,7.65
1459,9.62,7.69
1500,10.58,8.70
