minute,sh,sz
0930,0.48,0.35
0931,0.48,0.47
0932,0.55,0.75
0933,1.82,1.96
0934,2.27,2.29
0935,2.04,1.79
0936,2.94,2.90
0937,3.22,3.06
0938,4.12,3.90
0939,5.30,4.93
0940,6.14,4.93
0941,7.44,5.99
0942,8.63,6.16
0943,8.09,5.38
0944,8.55,5.83
0945,10.08,7.39
0946,9.67,6.88
0947,9.68,6.95
0948,10.07,7.14
0949,10.08,7.50
0950,10.84,8.71
0951,10.56,8.51
0952,9.68,7.66
0953,9.96,8.14
0954,10.07,8.54
0955,10.21,8.69
0956,10.48,9.08
0957,11.19,10.19
0958,11.35,10.41
0959,11.41,10.51
1000,11.17,10.34
1001,12.37,12.03
1002,12.43,11.92
1003,12.44,11.95
1004,12.68,12.17
1005,13.35,12.47
1006,13.63,13.26
1007,13.66,13.48
1008,13.12,12.90
1009,13.19,12.94
1010,13.28,13.12
1011,13.37,13.38
1012,13.38,13.34
1013,13.46,13.44
1014,14.23,13.83
1015,15.19,14.66
1016,15.12,14.69
1017,16.18,15.40
1018,16.61,15.85
1019,16.47,16.06
1020,16.42,16.08
1021,16.10,15.81
1022,15.44,15.25
1023,14.81,14.84
1024,14.75,15.01
1025,14.89,15.38
1026,14.37,15.03
1027,12.86,14.17
1028,13.18,14.59
1029,13.28,14.81
1030,13.14,14.79
1031,13.19,14.83
1032,13.32,15.15
1033,13.17,15.25
1034,13.18,15.26
1035,13.18,15.18
1036,12.84,14.67
1037,12.79,14.77
1038,13.08,15.21
1039,13.13,15.33
1040,13.10,15.55
1041,13.38,15.77
1042,13.34,15.86
1043,13.28,15.76
1044,13.37,15.83
1045,13.47,15.88
1046,13.63,16.35
1047,13.73,16.46
1048,13.70,16.46
1049,13.68,16.50
1050,13.80,16.65
1051,13.81,16.64
1052,13.67,16.60
1053,13.66,16.62
1054,13.85,16.77
1055,14.88,17.36
1056,14.94,17.60
1057,15.03,17.80
1058,15.13,18.04
1059,15.21,18.14
1100,15.49,18.43
1101,15.75,18.67
1102,15.94,18.78
1103,16.06,18.89
1104,16.10,19.04
1105,16.17,19.24
1106,16.28,19.30
1107,16.35,19.25
1108,16.40,19.26
1109,16.49,19.46
1110,16.91,19.89
1111,17.01,20.02
1112,17.29,20.22
1113,17.14,20.04
1114,17.41,20.15
1115,17.63,20.36
1116,17.64,20.45
1117,17.84,20.64
1118,17.89,20.70
1119,17.97,20.76
1120,17.98,20.87
1121,17.76,20.70
1122,17.79,20.73
1123,17.84,20.82
1124,18.01,20.98
1125,18.24,21.19
1126,18.25,21.26
1127,18.34,21.43
1128,18.43,21.49
1129,18.44,21.67
1130,18.39,21.72
1300,18.43,21.79
1301,18.43,22.36
1302,17.95,22.21
1303,17.94,22.34
1304,17.93,22.37
1305,17.86,22.41
1306,17.80,22.57
1307,17.62,22.81
1308,17.58,22.97
1309,17.47,23.05
1310,17.41,23.14
1311,17.32,23.20
1312,17.11,23.22
1313,16.87,23.20
1314,16.83,23.41
1315,16.78,23.47
1316,16.82,23.87
1317,16.87,23.96
1318,16.79,24.15
1319,16.70,24.30
1320,16.57,24.60
1321,16.43,24.61
1322,16.42,24.79
1323,16.01,24.66
1324,15.82,24.61
1325,15.66,24.67
1326,15.47,24.70
1327,15.10,24.65
1328,14.88,24.65
1329,14.19,24.35
1330,14.15,24.43
1331,13.96,24.60
1332,13.93,24.71
1333,13.86,24.74
1334,13.73,24.84
1335,12.87,24.37
1336,12.68,24.32
1337,12.75,24.66
1338,12.72,24.95
1339,12.71,25.01
1340,12.68,25.07
1341,12.66,25.14
1342,12.69,25.23
1343,12.52,25.12
1344,12.54,25.32
1345,12.55,25.43
1346,12.38,25.40
1347,12.24,25.39
1348,12.14,25.42
1349,12.06,25.52
1350,12.02,25.49
1351,11.89,25.46
1352,11.77,25.46
1353,11.66,25.41
1354,11.54,25.45
1355,11.39,25.23
1356,11.38,25.24
1357,11.44,25.42
1358,11.43,25.51
1359,11.36,25.57
1400,11.19,25.49
1401,11.11,25.43
1402,10.95,25.52
1403,10.87,25.64
1404,9.79,25.26
1405,9.14,24.99
1406,8.75,24.61
1407,7.79,24.14
1408,7.98,24.70
1409,8.21,24.87
1410,8.24,24.85
1411,8.22,24.87
1412,8.15,24.82
1413,8.09,24.80
1414,8.07,24.95
1415,8.06,25.01
1416,8.13,25.01
1417,8.18,25.36
1418,8.12,25.25
1419,8.22,25.26
1420,8.11,25.14
1421,7.97,24.90
1422,8.00,24.98
1423,8.02,25.04
1424,8.07,25.22
1425,8.07,25.04
1426,7.95,25.06
1427,7.98,25.12
1428,8.08,25.38
1429,8.11,25.28
1430,8.00,25.25
1431,8.16,25.38
1432,8.21,25.40
1433,8.27,25.40
1434,8.23,25.39
1435,7.97,25.16
1436,7.93,24.98
1437,8.10,25.08
1438,8.29,25.12
1439,8.29,25.12
1440,8.29,25.12
1441,8.89,25.56
1442,8.98,25.76
1443,9.13,25.92
1444,9.24,26.08
1445,9.26,26.29
1446,9.28,26.29
1447,9.45,26.51
1448,9.74,26.71
1449,10.04,26.99
1450,10.37,27.39
1451,10.71,27.81
1452,10.79,28.04
1453,10.87,28.36
1454,11.03,28.83
1455,11.05,29.13
1456,10.89,29.29
1457,10.27,29.18
1458,10.90,29.69
1459,11.15,29.98
1500,12.36,31.12
