minute,sh,sz
0930,0.45,0.21
0931,-0.31,-0.03
0932,-0.28,0.27
0933,-0.20,0.64
0934,-0.43,0.90
0935,-0.84,0.56
0936,0.04,0.91
0937,0.26,0.90
0938,0.08,0.49
0939,0.15,0.15
0940,-0.83,-1.29
0941,0.16,-0.66
0942,0.31,-0.66
0943,0.40,-0.47
0944,1.06,0.20
0945,-0.05,-1.11
0946,-0.02,-1.03
0947,0.37,-0.40
0948,0.51,-0.15
0949,0.56,-0.22
0950,0.96,0.35
0951,0.95,0.44
0952,1.10,0.56
0953,1.39,1.16
0954,0.55,0.52
0955,0.41,0.34
0956,0.43,-0.02
0957,0.73,0.25
0958,0.71,0.18
0959,0.46,0.10
1000,0.41,0.02
1001,-0.47,-1.16
1002,0.10,-0.32
1003,0.10,-0.10
1004,0.30,0.15
1005,0.82,0.65
1006,0.90,0.93
1007,0.47,0.71
1008,0.63,0.88
1009,0.62,0.89
1010,0.60,0.91
1011,0.18,0.51
1012,0.15,0.48
1013,0.05,0.40
1014,0.37,0.66
1015,0.43,0.75
1016,0.43,0.75
1017,0.43,0.75
1018,0.48,0.49
1019,0.42,0.42
1020,0.50,0.48
1021,0.73,0.88
1022,0.80,0.93
1023,0.86,0.97
1024,0.86,0.92
1025,0.90,0.88
1026,1.04,0.92
1027,1.04,0.92
1028,1.04,0.92
1029,0.45,0.32
1030,0.52,0.22
1031,0.53,0.08
1032,0.70,0.14
1033,0.75,0.10
1034,0.76,0.00
1035,0.72,-0.37
1036,0.35,-0.69
1037,0.65,-0.43
1038,0.86,-0.42
1039,1.06,-0.30
1040,1.15,-0.32
1041,1.41,-0.09
1042,1.41,-0.09
1043,1.41,-0.09
1044,2.55,0.22
1045,2.67,0.30
1046,2.88,0.29
1047,3.05,0.36
1048,2.84,0.15
1049,2.79,0.13
1050,2.83,0.14
1051,2.74,0.06
1052,2.79,0.12
1053,2.82,0.17
1054,3.18,0.66
1055,3.19,0.64
1056,3.41,0.67
1057,3.38,0.59
1058,3.41,0.62
1059,3.44,0.61
1100,3.39,0.49
1101,3.44,0.44
1102,3.58,0.48
1103,3.58,0.48
1104,3.58,0.48
1105,4.02,0.50
1106,4.15,0.41
1107,4.13,0.32
1108,4.14,0.23
1109,3.90,-0.03
1110,3.87,-0.15
1111,3.87,-0.15
1112,3.87,-0.15
1113,4.06,-0.14
1114,4.14,-0.12
1115,4.16,-0.14
1116,4.25,-0.27
1117,4.28,-0.38
1118,4.33,-0.31
1119,4.32,-0.27
1120,4.21,-0.47
1121,4.18,-0.57
1122,4.23,-0.48
1123,4.26,-0.39
1124,4.35,-0.32
1125,4.46,-0.31
1126,4.51,-0.20
1127,4.57,-0.28
1128,4.71,-0.31
1129,4.60,-0.40
1130,4.60,-0.40
1300,4.54,-0.38
1301,4.54,-0.57
1302,4.69,-0.44
1303,4.77,-0.46
1304,4.95,-0.51
1305,4.83,-0.59
1306,4.78,-0.57
1307,4.85,-0.51
1308,5.07,-0.40
1309,5.24,-0.45
1310,5.30,-0.46
1311,5.35,-0.31
1312,5.35,-0.31
1313,5.50,-0.44
1314,5.57,-0.39
1315,5.67,-0.39
1316,5.67,-0.36
1317,5.88,-0.31
1318,6.05,-0.30
1319,6.15,-0.34
1320,6.38,-0.35
1321,6.46,-0.37
1322,6.46,-0.37
1323,6.46,-0.37
1324,6.86,-0.32
1325,6.92,-0.37
1326,7.10,-0.21
1327,7.19,-0.16
1328,7.19,-0.16
1329,7.44,0.05
1330,7.59,0.07
1331,7.70,0.05
1332,7.77,0.02
1333,7.78,-0.05
1334,7.82,-0.09
1335,7.92,-0.06
1336,8.04,-0.03
1337,8.04,0.03
1338,8.26,0.11
1339,8.26,0.11
1340,8.26,0.11
1341,8.64,0.06
1342,8.75,0.16
1343,9.14,0.62
1344,9.45,0.75
1345,9.45,0.75
1346,9.45,0.75
1347,9.75,0.71
1348,9.75,0.75
1349,9.76,0.78
1350,9.92,0.90
1351,10.16,1.11
1352,10.21,1.11
1353,10.22,1.02
1354,10.36,0.95
1355,10.43,0.94
1356,10.54,0.94
1357,10.65,0.89
1358,10.83,0.99
1359,11.03,1.08
1400,11.08,1.10
1401,11.15,1.14
1402,11.23,1.04
1403,11.66,1.47
1404,11.70,1.48
1405,11.86,1.50
1406,12.02,1.54
1407,12.61,2.09
1408,12.77,1.90
1409,12.68,1.72
1410,12.62,1.78
1411,12.81,1.98
1412,12.83,1.91
1413,12.83,1.91
1414,12.66,1.80
1415,12.67,1.77
1416,12.70,1.75
1417,12.75,1.82
1418,12.85,1.81
1419,12.85,1.81
1420,12.85,1.81
1421,13.13,1.80
1422,13.13,1.75
1423,13.13,1.75
1424,13.13,1.75
1425,13.08,1.64
1426,13.16,1.57
1427,13.21,1.50
1428,13.29,1.53
1429,13.40,1.52
1430,13.55,1.42
1431,13.56,1.33
1432,13.60,1.29
1433,13.61,1.27
1434,13.68,1.21
1435,13.78,1.18
1436,13.88,1.04
1437,14.02,1.04
1438,14.11,0.92
1439,14.27,0.93
1440,14.29,0.86
1441,14.28,0.61
1442,14.10,0.62
1443,14.31,0.73
1444,14.31,0.73
1445,14.29,0.56
1446,14.34,0.47
1447,14.79,0.65
1448,14.79,0.69
1449,14.77,0.79
1450,14.78,0.85
1451,14.93,0.91
1452,15.29,1.13
1453,15.85,1.42
1454,15.85,1.42
1455,15.85,1.42
1456,16.57,2.22
1457,16.55,1.87
1458,17.40,2.14
1459,17.87,2.27
1500,19.29,3.79
