minute,sh,sz
0930,0.24,0.30
0931,0.43,0.11
0932,0.28,0.82
0933,2.64,1.37
0934,3.33,1.40
0935,4.95,2.71
0936,5.77,2.81
0937,6.31,2.92
0938,7.15,4.09
0939,7.05,3.58
0940,7.98,4.12
0941,9.97,5.11
0942,9.98,4.70
0943,9.79,4.32
0944,9.94,4.46
0945,9.78,4.39
0946,10.20,4.55
0947,10.92,5.64
0948,11.39,5.96
0949,11.13,5.55
0950,10.92,5.20
0951,10.97,5.21
0952,10.60,4.92
0953,11.46,5.44
0954,11.42,5.40
0955,11.48,5.59
0956,11.79,6.10
0957,11.71,6.07
0958,11.72,5.96
0959,11.71,5.93
1000,11.79,5.93
1001,12.76,7.25
1002,12.76,7.25
1003,12.76,7.25
1004,14.44,9.79
1005,14.51,9.50
1006,14.24,9.13
1007,14.17,8.98
1008,14.17,8.98
1009,14.17,8.98
1010,13.50,8.35
1011,13.40,8.43
1012,13.48,8.71
1013,13.50,8.90
1014,13.42,9.15
1015,13.42,9.15
1016,13.42,9.15
1017,13.61,9.31
1018,13.49,9.46
1019,13.49,9.46
1020,13.33,9.43
1021,12.72,8.40
1022,12.68,8.39
1023,12.63,8.51
1024,12.77,8.78
1025,12.89,8.93
1026,12.90,8.97
1027,13.01,8.98
1028,13.14,9.05
1029,13.20,9.05
1030,13.31,9.22
1031,13.31,9.96
1032,13.94,10.03
1033,13.90,9.86
1034,13.92,9.90
1035,13.89,9.86
1036,13.64,9.37
1037,14.00,9.72
1038,14.00,9.72
1039,14.00,9.72
1040,14.31,9.81
1041,14.33,9.82
1042,14.28,9.89
1043,14.27,9.95
1044,14.23,9.95
1045,14.32,10.16
1046,14.54,10.16
1047,15.02,10.64
1048,15.12,10.48
1049,15.05,10.56
1050,15.03,10.64
1051,14.99,10.69
1052,15.10,10.77
1053,15.18,10.89
1054,15.17,10.77
1055,15.15,10.75
1056,15.19,10.65
1057,15.17,10.64
1058,15.25,10.65
1059,15.25,10.69
1100,15.24,10.67
1101,15.41,10.87
1102,15.43,10.91
1103,15.38,10.86
1104,15.41,10.81
1105,15.67,11.29
1106,15.85,11.72
1107,15.75,11.58
1108,15.74,11.49
1109,15.90,11.43
1110,15.90,11.43
1111,15.90,11.43
1112,16.20,11.40
1113,16.14,11.15
1114,16.12,11.21
1115,16.07,11.17
1116,15.96,11.08
1117,15.92,11.13
1118,15.72,11.17
1119,15.67,11.03
1120,15.65,11.10
1121,15.35,10.99
1122,15.65,11.10
1123,15.12,10.98
1124,15.12,10.98
1125,15.12,10.98
1126,14.78,10.93
1127,14.59,10.93
1128,14.36,11.03
1129,14.26,11.06
1130,14.14,11.04
1300,14.19,11.07
1301,14.17,11.26
1302,14.04,11.13
1303,13.98,11.11
1304,13.81,11.01
1305,13.34,10.43
1306,13.18,10.08
1307,13.07,10.05
1308,13.01,10.02
1309,12.84,9.99
1310,12.54,9.92
1311,12.46,9.93
1312,12.46,9.93
1313,12.46,9.93
1314,12.41,9.76
1315,12.36,9.74
1316,12.44,9.80
1317,12.43,9.80
1318,12.37,9.81
1319,12.25,9.59
1320,12.24,9.59
1321,12.42,9.68
1322,12.36,9.72
1323,12.34,9.71
1324,12.32,9.61
1325,12.21,9.48
1326,12.20,9.47
1327,12.01,9.29
1328,12.00,9.23
1329,11.96,9.24
1330,11.92,9.19
1331,11.84,9.03
1332,11.83,9.03
1333,11.78,9.02
1334,11.76,8.99
1335,11.82,9.03
1336,11.79,9.07
1337,11.76,9.12
1338,11.76,9.08
1339,11.69,8.93
1340,11.69,8.92
1341,11.71,8.96
1342,11.81,8.96
1343,11.84,8.93
1344,11.86,9.01
1345,11.85,8.95
1346,11.85,9.01
1347,11.85,9.01
1348,11.92,9.09
1349,11.94,9.06
1350,11.97,9.06
1351,11.91,8.99
1352,11.84,9.01
1353,11.65,8.87
1354,11.54,8.87
1355,11.53,8.86
1356,11.53,8.86
1357,11.29,9.02
1358,11.29,9.02
1359,11.22,9.02
1400,11.24,9.07
1401,11.04,8.91
1402,11.13,9.02
1403,11.22,9.07
1404,11.30,9.10
1405,11.38,9.05
1406,11.40,9.03
1407,11.42,9.13
1408,11.48,9.15
1409,11.44,9.03
1410,11.48,9.01
1411,11.38,9.08
1412,11.30,9.12
1413,11.34,9.15
1414,11.42,9.12
1415,11.40,9.11
1416,11.25,8.96
1417,11.30,8.88
1418,11.35,8.85
1419,11.31,8.61
1420,11.21,8.53
1421,10.86,7.96
1422,10.70,7.97
1423,10.75,8.05
1424,10.78,8.17
1425,10.84,8.27
1426,10.89,8.36
1427,10.88,8.26
1428,10.84,8.02
1429,10.87,8.00
1430,10.90,8.14
1431,11.14,8.39
1432,11.23,8.46
1433,11.24,8.47
1434,11.25,8.41
1435,11.17,8.42
1436,11.15,8.32
1437,11.19,8.29
1438,11.32,8.42
1439,11.38,8.39
1440,11.54,8.54
1441,11.58,8.54
1442,11.60,8.53
1443,11.60,8.53
1444,11.61,8.26
1445,11.41,8.10
1446,11.28,8.14
1447,11.42,8.27
1448,11.56,8.38
1449,11.55,8.47
1450,11.62,8.61
1451,11.85,8.85
1452,11.87,8.84
1453,12.03,8.98
1454,12.22,9.17
1455,12.22,9.24
1456,12.42,9.19
1457,12.30,9.14
1458,13.03,9.60
1459,13.15,9.76
1500,14.46,10.89
