minute,sh,sz
0930,0.42,0.18
0931,0.56,-0.02
0932,1.40,0.61
0933,1.22,0.45
0934,1.75,1.01
0935,1.75,1.01
0936,1.99,1.16
0937,2.44,1.75
0938,2.32,1.63
0939,2.73,2.23
0940,2.85,2.10
0941,2.80,1.71
0942,3.18,1.96
0943,3.63,1.67
0944,3.62,1.13
0945,3.33,0.11
0946,3.55,-0.31
0947,4.45,0.39
0948,4.48,0.15
0949,4.49,0.06
0950,4.55,0.04
0951,4.88,0.71
0952,5.14,1.18
0953,5.65,1.14
0954,5.67,0.89
0955,5.68,0.82
0956,5.43,0.53
0957,5.55,0.54
0958,5.70,0.62
0959,5.68,0.46
1000,5.68,0.30
1001,5.65,0.30
1002,6.02,0.32
1003,6.45,0.53
1004,6.70,0.64
1005,6.74,0.73
1006,6.94,0.90
1007,7.08,0.94
1008,7.31,1.31
1009,7.49,1.70
1010,7.53,1.56
1011,7.79,1.64
1012,7.80,1.64
1013,7.84,1.76
1014,7.84,1.66
1015,7.84,1.64
1016,8.09,1.68
1017,8.21,1.91
1018,8.21,1.91
1019,8.35,1.91
1020,8.35,1.91
1021,8.35,1.91
1022,8.51,1.13
1023,8.87,1.33
1024,9.11,1.50
1025,9.59,1.67
1026,9.98,1.84
1027,10.04,1.98
1028,10.14,1.99
1029,10.30,2.05
1030,10.51,2.18
1031,11.14,2.67
1032,11.79,2.83
1033,11.83,2.41
1034,11.88,2.36
1035,11.97,2.49
1036,11.97,2.49
1037,11.96,2.46
1038,12.13,2.56
1039,12.04,2.43
1040,12.09,2.44
1041,12.36,2.68
1042,12.45,2.74
1043,12.80,2.69
1044,13.00,3.55
1045,13.29,3.63
1046,13.71,4.04
1047,13.76,3.86
1048,13.77,3.77
1049,13.63,3.51
1050,13.72,3.47
1051,13.84,3.45
1052,13.95,3.47
1053,14.01,3.46
1054,13.99,3.34
1055,13.97,3.34
1056,13.92,3.22
1057,13.82,3.15
1058,13.80,3.05
1059,13.95,3.13
1100,14.14,3.15
1101,14.63,3.92
1102,14.63,3.92
1103,14.63,3.92
1104,14.93,4.09
1105,15.05,4.12
1106,15.17,4.06
1107,15.28,4.04
1108,15.29,3.90
1109,15.31,3.84
1110,15.34,3.82
1111,15.52,3.95
1112,15.76,4.16
1113,15.83,4.36
1114,15.96,4.52
1115,16.29,4.85
1116,17.27,5.43
1117,17.61,5.60
1118,17.55,5.46
1119,17.50,5.34
1120,17.43,5.25
1121,17.14,5.10
1122,17.14,5.21
1123,17.11,5.11
1124,17.13,5.16
1125,17.13,5.16
1126,17.13,5.16
1127,16.99,5.09
1128,17.03,5.09
1129,17.07,5.05
1130,17.08,4.99
1300,17.13,5.09
1301,17.21,4.99
1302,17.21,4.99
1303,17.33,4.98
1304,17.33,5.01
1305,17.33,5.12
1306,17.34,5.07
1307,17.28,5.17
1308,17.26,5.07
1309,17.30,5.16
1310,17.33,5.20
1311,17.44,5.19
1312,17.44,5.27
1313,17.50,5.30
1314,17.54,5.34
1315,17.52,5.32
1316,17.51,5.30
1317,17.54,5.31
1318,17.58,5.28
1319,17.59,5.30
1320,17.58,5.26
1321,17.49,5.13
1322,17.41,5.09
1323,17.31,4.93
1324,17.20,4.84
1325,17.19,4.80
1326,17.21,4.83
1327,17.18,4.77
1328,17.18,4.83
1329,17.23,4.81
1330,17.25,4.95
1331,17.24,4.96
1332,17.33,5.07
1333,17.36,5.06
1334,17.41,5.06
1335,17.43,5.14
1336,17.47,5.08
1337,17.48,5.03
1338,17.51,5.03
1339,17.56,5.02
1340,17.60,4.95
1341,17.68,4.95
1342,17.79,5.09
1343,17.86,5.15
1344,18.01,5.14
1345,18.01,5.12
1346,18.04,5.19
1347,17.99,5.19
1348,18.06,5.38
1349,18.06,5.38
1350,18.27,5.37
1351,18.31,5.32
1352,18.28,5.26
1353,18.29,5.29
1354,18.32,5.39
1355,18.64,5.46
1356,18.78,5.53
1357,18.86,5.60
1358,19.08,5.61
1359,19.23,5.65
1400,19.29,5.54
1401,19.38,5.54
1402,19.18,5.07
1403,19.10,4.95
1404,19.12,4.88
1405,18.85,4.81
1406,18.75,4.54
1407,18.79,4.59
1408,18.72,4.50
1409,18.75,4.49
1410,18.74,4.49
1411,18.85,4.60
1412,18.85,4.40
1413,18.84,4.41
1414,18.89,4.43
1415,18.85,4.34
1416,18.81,4.24
1417,18.74,4.01
1418,17.87,2.68
1419,17.70,2.45
1420,17.71,2.44
1421,17.74,2.45
1422,17.79,2.41
1423,17.76,2.34
1424,17.78,2.35
1425,17.76,2.34
1426,17.72,2.23
1427,17.78,2.33
1428,17.83,2.40
1429,17.83,2.41
1430,17.83,2.38
1431,17.83,2.38
1432,17.83,2.38
1433,17.90,2.47
1434,18.00,2.54
1435,18.00,2.53
1436,17.85,2.21
1437,17.91,2.32
1438,18.14,2.66
1439,18.23,2.78
1440,18.20,2.72
1441,18.00,2.47
1442,17.94,2.50
1443,17.87,2.54
1444,17.91,2.49
1445,18.03,2.59
1446,18.06,2.71
1447,18.02,2.84
1448,17.96,2.76
1449,17.96,2.66
1450,17.75,2.53
1451,17.95,2.92
1452,18.04,3.17
1453,18.18,3.14
1454,18.01,3.12
1455,17.99,2.93
1456,18.03,2.94
1457,17.71,2.95
1458,19.02,3.67
1459,19.16,3.72
1500,20.55,4.97
