minute,sh,sz
0930,0.49,0.17
0931,1.41,0.41
0932,2.09,0.41
0933,2.81,0.94
0934,2.92,0.37
0935,3.03,0.06
0936,3.33,0.13
0937,3.32,-0.22
0938,3.32,-0.82
0939,4.43,-0.41
0940,4.75,-0.14
0941,5.07,-0.03
0942,5.07,-0.03
0943,5.07,-0.03
0944,6.09,0.65
0945,7.01,0.73
0946,7.68,1.08
0947,7.90,0.80
0948,7.94,0.29
0949,7.31,-0.25
0950,7.30,-0.53
0951,6.83,-0.69
0952,7.12,-0.74
0953,7.17,-0.61
0954,7.11,-0.41
0955,7.10,-0.70
0956,7.53,-0.86
0957,8.44,0.24
0958,8.44,0.24
0959,8.44,0.24
1000,9.26,1.18
1001,9.26,1.21
1002,9.83,1.34
1003,9.83,1.26
1004,9.62,1.09
1005,9.56,0.96
1006,9.50,0.81
1007,9.15,0.51
1008,10.04,1.26
1009,10.71,1.68
1010,11.00,2.07
1011,11.12,2.06
1012,11.28,1.88
1013,11.33,1.49
1014,11.33,1.23
1015,11.24,1.14
1016,10.97,0.90
1017,11.06,0.84
1018,11.48,1.09
1019,11.58,1.20
1020,11.45,1.22
1021,11.78,1.52
1022,12.21,1.79
1023,12.23,1.85
1024,12.73,2.51
1025,12.86,2.29
1026,12.79,2.12
1027,12.72,1.97
1028,12.65,1.88
1029,12.73,1.94
1030,12.86,1.87
1031,12.99,1.83
1032,12.94,1.73
1033,12.50,1.08
1034,12.34,1.06
1035,12.35,1.19
1036,12.41,1.29
1037,12.40,1.28
1038,12.38,1.36
1039,12.37,1.39
1040,12.37,1.34
1041,12.49,1.26
1042,12.65,1.24
1043,12.68,1.26
1044,12.72,1.19
1045,12.63,0.98
1046,12.01,0.30
1047,11.92,0.28
1048,12.01,0.52
1049,11.98,0.57
1050,12.22,0.82
1051,12.35,0.98
1052,11.74,0.42
1053,11.84,0.48
1054,11.94,0.62
1055,12.48,1.08
1056,12.49,1.16
1057,12.54,1.25
1058,12.56,1.25
1059,12.48,1.27
1100,12.43,1.29
1101,12.43,1.29
1102,12.27,1.28
1103,12.38,1.40
1104,12.36,1.41
1105,12.25,1.41
1106,11.99,1.12
1107,12.08,1.06
1108,12.50,1.41
1109,12.45,1.37
1110,12.44,1.35
1111,12.51,1.34
1112,12.53,1.37
1113,12.48,1.29
1114,12.51,1.25
1115,12.52,1.29
1116,12.49,1.31
1117,12.49,1.33
1118,12.56,1.37
1119,12.53,1.38
1120,12.34,1.10
1121,11.89,0.61
1122,12.37,1.16
1123,12.38,1.17
1124,12.36,1.21
1125,12.44,1.17
1126,12.58,1.25
1127,12.53,1.17
1128,12.47,1.18
1129,12.43,1.17
1130,12.37,1.20
1300,12.43,1.28
1301,13.61,1.43
1302,13.51,1.53
1303,13.50,1.46
1304,13.50,1.48
1305,13.48,1.49
1306,13.49,1.48
1307,13.71,1.60
1308,13.69,1.55
1309,13.60,1.59
1310,13.49,1.51
1311,13.44,1.54
1312,13.36,1.47
1313,13.41,1.42
1314,13.32,1.38
1315,13.49,1.52
1316,13.53,1.51
1317,13.83,1.74
1318,13.87,1.85
1319,13.85,1.85
1320,13.93,2.06
1321,13.96,2.18
1322,13.94,2.17
1323,13.84,2.20
1324,13.82,2.30
1325,14.03,2.62
1326,13.99,2.63
1327,13.90,2.61
1328,13.81,2.53
1329,13.81,2.61
1330,13.88,2.67
1331,13.82,2.69
1332,14.10,2.75
1333,14.16,3.01
1334,14.30,3.13
1335,14.26,3.13
1336,14.28,3.03
1337,14.22,2.95
1338,14.14,3.03
1339,14.26,3.12
1340,14.22,3.07
1341,14.18,3.09
1342,14.10,3.06
1343,14.48,3.16
1344,14.46,3.13
1345,14.47,3.16
1346,14.57,3.25
1347,14.53,3.24
1348,14.49,3.21
1349,14.49,3.18
1350,14.40,3.12
1351,14.33,3.06
1352,14.36,3.11
1353,14.41,3.10
1354,14.37,3.19
1355,14.42,3.22
1356,14.39,3.20
1357,14.35,3.22
1358,14.41,3.16
1359,14.39,3.15
1400,14.31,3.08
1401,14.12,2.83
1402,13.94,2.71
1403,13.85,2.63
1404,13.65,2.59
1405,13.58,2.48
1406,13.50,2.46
1407,13.54,2.55
1408,13.50,2.57
1409,13.44,2.28
1410,13.33,2.19
1411,13.10,1.72
1412,13.02,1.72
1413,13.06,1.97
1414,13.16,2.07
1415,13.17,1.71
1416,13.12,1.69
1417,13.10,1.60
1418,13.08,1.55
1419,13.02,1.38
1420,10.54,0.12
1421,9.67,-0.17
1422,9.99,0.15
1423,10.02,0.19
1424,9.97,0.35
1425,9.91,0.35
1426,9.81,0.34
1427,9.70,0.22
1428,9.38,-0.10
1429,9.52,-0.02
1430,9.56,0.01
1431,9.46,0.19
1432,9.53,0.32
1433,9.35,0.18
1434,9.29,0.14
1435,9.30,0.21
1436,9.12,-0.16
1437,8.97,-0.45
1438,9.21,0.03
1439,9.35,0.09
1440,9.41,0.06
1441,9.35,0.13
1442,9.44,0.33
1443,9.57,0.48
1444,9.54,0.70
1445,9.59,0.73
1446,9.69,0.78
1447,9.66,0.80
1448,9.67,0.86
1449,9.72,0.89
1450,9.74,0.73
1451,9.77,0.84
1452,10.00,0.90
1453,10.02,0.82
1454,10.02,0.76
1455,10.44,0.76
1456,9.96,0.81
1457,9.94,0.83
1458,10.19,1.00
1459,10.32,1.13
1500,11.46,2.11
