minute,sh,sz
0930,1.02,0.51
0931,1.10,0.51
0932,1.97,0.28
0933,2.33,0.29
0934,3.15,0.78
0935,3.01,0.27
0936,3.16,0.23
0937,2.78,-0.38
0938,3.20,0.12
0939,3.45,0.60
0940,3.70,1.22
0941,3.89,1.20
0942,4.03,0.94
0943,4.30,1.01
0944,4.21,0.72
0945,4.20,0.29
0946,4.20,0.29
0947,4.20,1.19
0948,9.06,2.62
0949,9.61,2.80
0950,10.01,2.95
0951,11.23,3.40
0952,11.47,3.15
0953,12.36,3.28
0954,12.63,3.22
0955,14.14,4.14
0956,16.28,5.02
0957,16.09,4.26
0958,16.62,4.53
0959,17.27,4.84
1000,17.11,4.73
1001,17.80,5.30
1002,18.20,5.48
1003,18.15,5.16
1004,18.03,5.06
1005,18.09,5.07
1006,17.61,4.56
1007,17.49,4.47
1008,17.73,4.72
1009,17.81,4.91
1010,18.39,5.17
1011,18.56,5.50
1012,18.40,5.24
1013,17.94,4.56
1014,18.03,4.69
1015,18.45,4.89
1016,18.68,5.01
1017,18.73,5.08
1018,18.72,4.95
1019,18.72,4.84
1020,18.90,4.89
1021,19.01,4.98
1022,20.13,5.64
1023,20.22,5.78
1024,20.02,5.50
1025,19.04,4.20
1026,19.10,4.21
1027,19.22,4.25
1028,19.58,4.57
1029,19.68,4.78
1030,19.40,4.54
1031,18.87,4.29
1032,18.73,4.29
1033,18.80,4.33
1034,18.90,4.39
1035,19.05,4.59
1036,18.99,4.71
1037,18.77,4.43
1038,18.77,4.45
1039,18.86,4.56
1040,18.98,4.75
1041,19.08,4.86
1042,19.64,5.03
1043,19.65,4.99
1044,19.65,5.05
1045,19.55,5.01
1046,19.55,4.72
1047,19.38,4.81
1048,19.41,4.86
1049,19.45,4.87
1050,19.60,5.10
1051,19.77,5.13
1052,19.68,5.09
1053,19.73,5.05
1054,19.82,5.13
1055,19.95,5.30
1056,19.95,5.44
1057,20.16,5.65
1058,20.35,5.75
1059,20.43,5.72
1100,20.39,5.60
1101,20.42,5.56
1102,20.44,5.49
1103,20.39,5.48
1104,20.45,5.50
1105,20.29,5.34
1106,20.34,5.30
1107,20.24,5.20
1108,20.24,5.15
1109,20.18,5.16
1110,19.81,4.93
1111,19.45,4.68
1112,19.49,4.73
1113,19.65,5.08
1114,19.60,5.02
1115,19.62,4.97
1116,19.58,4.93
1117,19.49,4.88
1118,19.33,4.73
1119,18.75,4.39
1120,18.88,4.57
1121,18.79,4.55
1122,18.77,4.48
1123,18.78,4.62
1124,18.94,4.68
1125,19.03,4.77
1126,19.13,4.85
1127,19.35,4.85
1128,19.34,4.73
1129,19.32,4.71
1130,19.19,4.67
1300,19.24,4.70
1301,19.46,4.72
1302,19.47,4.67
1303,19.49,4.62
1304,19.55,4.65
1305,19.63,4.66
1306,19.73,4.80
1307,19.74,4.75
1308,19.74,4.72
1309,19.61,4.69
1310,19.52,4.58
1311,19.55,4.60
1312,19.49,4.53
1313,19.49,4.50
1314,19.60,4.56
1315,19.63,4.47
1316,19.61,4.45
1317,19.67,4.46
1318,19.82,4.54
1319,19.82,4.48
1320,19.65,4.42
1321,19.37,4.10
1322,19.21,4.10
1323,19.02,3.86
1324,19.09,3.76
1325,19.13,3.83
1326,19.22,3.90
1327,19.16,3.92
1328,19.12,3.85
1329,19.08,3.86
1330,19.07,3.86
1331,19.03,3.84
1332,18.27,3.58
1333,18.28,3.67
1334,18.27,3.75
1335,18.40,3.79
1336,18.49,3.97
1337,18.56,4.04
1338,18.49,4.03
1339,18.44,4.07
1340,18.53,4.16
1341,18.60,4.14
1342,18.63,4.13
1343,18.58,4.15
1344,18.62,4.18
1345,18.47,3.83
1346,18.28,3.73
1347,18.44,3.77
1348,18.60,3.80
1349,18.65,3.80
1350,18.67,3.82
1351,18.50,3.78
1352,18.60,3.71
1353,18.75,3.80
1354,18.89,4.13
1355,19.08,4.23
1356,19.06,4.23
1357,18.84,4.10
1358,18.81,4.12
1359,18.84,4.18
1400,18.88,4.16
1401,17.64,4.16
1402,17.65,3.48
1403,17.90,3.69
1404,17.94,3.75
1405,18.01,3.88
1406,17.75,3.74
1407,17.87,3.80
1408,17.77,3.84
1409,17.11,3.58
1410,16.77,3.41
1411,16.81,3.39
1412,16.79,3.35
1413,16.91,3.53
1414,17.34,3.87
1415,17.50,4.02
1416,17.46,3.98
1417,17.54,3.91
1418,17.48,3.82
1419,17.53,3.81
1420,17.39,3.71
1421,17.37,3.66
1422,17.51,3.70
1423,17.80,3.91
1424,18.14,4.16
1425,18.24,4.20
1426,18.10,4.18
1427,18.01,4.08
1428,18.02,4.11
1429,18.03,4.08
1430,18.00,4.03
1431,18.03,3.99
1432,18.18,4.25
1433,18.13,4.25
1434,18.08,4.17
1435,17.99,3.95
1436,17.84,3.89
1437,17.85,3.88
1438,17.88,4.01
1439,17.88,4.03
1440,17.87,4.04
1441,17.80,3.99
1442,17.74,4.07
1443,17.78,3.99
1444,17.90,4.07
1445,17.90,4.07
1446,17.88,4.34
1447,18.71,4.96
1448,18.82,5.16
1449,18.90,5.39
1450,18.84,5.54
1451,18.74,5.65
1452,18.88,5.67
1453,18.86,5.66
1454,18.81,5.79
1455,18.85,5.92
1456,18.92,6.04
1457,18.91,6.15
1458,19.32,6.55
1459,19.38,6.60
1500,20.44,7.50
