minute,sh,sz
0930,0.14,0.15
0931,0.16,-0.10
0932,0.82,0.14
0933,1.42,1.02
0934,1.03,0.89
0935,1.18,0.96
0936,1.26,1.41
0937,0.78,1.03
0938,1.30,1.48
0939,1.15,0.13
0940,1.98,2.59
0941,0.88,2.47
0942,2.06,2.83
0943,1.35,2.74
0944,1.52,2.93
0945,1.19,2.71
0946,1.82,3.28
0947,2.00,3.78
0948,2.00,4.07
0949,2.04,4.24
0950,1.88,-0.10
0951,1.78,4.36
0952,1.99,4.57
0953,2.02,4.63
0954,1.28,4.09
0955,2.28,4.46
0956,1.76,2.71
0957,1.75,4.35
0958,1.66,4.23
0959,1.40,3.91
1000,1.27,3.88
1001,3.58,5.05
1002,2.35,4.51
1003,3.65,5.06
1004,2.51,4.65
1005,2.50,4.62
1006,2.35,4.38
1007,3.59,4.56
1008,2.31,4.14
1009,2.39,4.30
1010,2.36,4.25
1011,2.11,3.84
1012,3.34,3.92
1013,3.79,4.08
1014,4.27,4.25
1015,3.48,4.11
1016,4.29,4.51
1017,4.48,4.56
1018,4.58,4.68
1019,4.82,4.72
1020,4.74,4.70
1021,4.88,4.72
1022,4.96,4.84
1023,5.18,4.98
1024,5.21,5.17
1025,5.41,5.32
1026,5.45,5.55
1027,5.40,5.58
1028,5.36,5.57
1029,5.36,5.57
1030,5.36,5.57
1031,6.25,6.23
1032,6.14,5.80
1033,6.10,5.66
1034,6.12,5.59
1035,6.04,5.56
1036,6.07,5.70
1037,6.57,5.87
1038,6.49,5.79
1039,6.70,6.03
1040,6.84,6.12
1041,7.03,6.31
1042,7.26,6.47
1043,7.14,6.13
1044,6.94,5.99
1045,6.94,5.99
1046,6.94,5.99
1047,6.56,5.80
1048,6.38,5.64
1049,6.27,5.58
1050,6.11,5.60
1051,6.07,5.63
1052,6.10,5.67
1053,6.09,5.73
1054,7.21,6.31
1055,6.58,5.94
1056,6.07,5.61
1057,6.06,5.60
1058,6.02,5.56
1059,6.08,5.69
1100,6.11,5.72
1101,6.04,5.72
1102,6.05,5.73
1103,6.12,5.73
1104,6.12,5.70
1105,6.21,5.80
1106,6.30,5.92
1107,5.92,5.49
1108,5.77,5.41
1109,5.81,5.42
1110,5.79,5.37
1111,5.67,5.33
1112,5.56,5.36
1113,5.53,5.43
1114,5.54,5.47
1115,5.55,5.46
1116,5.44,5.34
1117,5.40,5.27
1118,5.33,5.33
1119,5.21,5.38
1120,4.91,5.30
1121,4.58,5.25
1122,4.58,5.42
1123,4.60,5.58
1124,4.62,5.57
1125,4.69,5.64
1126,4.70,5.63
1127,4.67,5.52
1128,4.67,5.51
1129,4.77,5.53
1130,4.72,5.47
1300,4.78,5.53
1301,5.22,5.55
1302,5.25,5.41
1303,5.28,5.32
1304,5.26,5.32
1305,5.43,5.41
1306,5.42,5.44
1307,5.52,5.45
1308,5.55,5.48
1309,5.51,5.43
1310,5.52,5.42
1311,5.98,5.86
1312,5.95,5.92
1313,5.95,5.76
1314,5.96,5.79
1315,5.92,5.79
1316,5.91,5.75
1317,5.89,5.73
1318,5.86,5.78
1319,5.75,5.69
1320,5.68,5.58
1321,5.70,5.60
1322,5.81,5.76
1323,5.94,5.97
1324,6.08,6.16
1325,6.06,6.14
1326,6.15,6.11
1327,6.18,6.09
1328,6.17,5.98
1329,6.11,5.87
1330,6.11,5.96
1331,6.03,5.89
1332,6.07,5.83
1333,6.10,5.94
1334,6.11,6.07
1335,6.14,6.26
1336,6.52,6.60
1337,6.55,6.78
1338,6.33,6.18
1339,6.22,6.12
1340,6.02,6.15
1341,5.87,6.21
1342,5.77,6.15
1343,5.68,5.93
1344,5.60,5.89
1345,5.65,5.84
1346,5.65,5.82
1347,5.70,5.71
1348,5.61,5.80
1349,5.56,5.79
1350,5.44,5.59
1351,5.22,5.45
1352,5.25,5.43
1353,5.36,5.81
1354,5.24,6.15
1355,5.09,6.02
1356,4.87,6.01
1357,4.70,5.98
1358,4.72,5.91
1359,4.76,6.02
1400,4.72,6.01
1401,4.75,6.09
1402,4.39,5.58
1403,4.25,5.43
1404,4.15,5.19
1405,4.37,5.09
1406,4.39,5.18
1407,4.22,5.06
1408,4.10,5.00
1409,4.17,4.95
1410,4.18,5.02
1411,4.17,5.20
1412,4.23,5.30
1413,3.96,4.95
1414,3.94,5.08
1415,4.03,5.25
1416,3.91,5.18
1417,3.92,5.15
1418,3.90,5.27
1419,3.97,5.48
1420,4.07,5.69
1421,4.11,5.86
1422,4.03,5.91
1423,3.88,5.83
1424,3.87,6.00
1425,3.90,6.13
1426,3.64,5.95
1427,3.62,6.02
1428,3.57,5.87
1429,3.62,5.91
1430,3.66,5.93
1431,3.71,6.08
1432,3.84,6.25
1433,3.50,5.97
1434,3.38,5.84
1435,3.45,5.85
1436,3.06,5.46
1437,2.93,5.34
1438,2.89,5.31
1439,2.85,5.21
1440,2.68,5.23
1441,2.59,5.26
1442,2.44,5.23
1443,2.39,5.33
1444,1.88,5.02
1445,1.68,4.91
1446,1.56,4.93
1447,1.48,4.94
1448,1.44,5.23
1449,1.48,5.37
1450,1.43,5.44
1451,1.41,5.83
1452,1.32,6.05
1453,1.29,6.50
1454,0.86,6.45
1455,0.56,6.52
1456,0.58,6.77
1457,0.18,6.37
1458,0.54,6.78
1459,0.61,6.84
1500,1.57,7.87
