minute,sh,sz
0930,-0.18,0.52
0931,0.13,0.39
0932,0.44,0.31
0933,-0.27,-0.03
0934,-0.94,0.27
0935,-0.94,0.27
0936,-0.94,0.27
0937,-0.62,0.00
0938,-0.46,-0.04
0939,-1.56,-0.95
0940,-1.53,-0.47
0941,-2.23,-1.25
0942,-2.99,-1.48
0943,-2.18,-0.11
0944,-2.18,-0.11
0945,-2.18,-0.11
0946,-4.28,-0.80
0947,-3.21,0.97
0948,-2.79,1.82
0949,-3.19,1.54
0950,-3.19,1.54
0951,-3.19,1.54
0952,-2.03,2.49
0953,-2.08,2.53
0954,-2.14,2.71
0955,-2.72,2.36
0956,-2.72,2.86
0957,-2.81,2.89
0958,-2.75,3.53
0959,-2.81,3.62
1000,-2.81,3.62
1001,-2.81,3.62
1002,-3.14,4.30
1003,-3.31,4.28
1004,-3.30,4.31
1005,-2.38,4.86
1006,-2.45,5.17
1007,-2.56,5.21
1008,-2.88,4.67
1009,-3.02,4.47
1010,-3.14,4.44
1011,-3.19,4.41
1012,-3.17,4.38
1013,-3.35,4.35
1014,-3.37,4.28
1015,-3.34,4.42
1016,-3.19,4.71
1017,-3.19,4.71
1018,-3.19,4.71
1019,-3.32,4.18
1020,-3.18,4.56
1021,-2.96,4.69
1022,-2.59,4.59
1023,-2.66,4.54
1024,-2.82,4.39
1025,-2.89,4.22
1026,-3.07,4.18
1027,-3.14,4.07
1028,-3.20,4.09
1029,-3.20,4.07
1030,-3.28,4.02
1031,-3.51,3.75
1032,-3.63,3.75
1033,-3.65,3.77
1034,-3.65,3.77
1035,-3.53,3.85
1036,-3.73,3.65
1037,-3.59,3.77
1038,-3.53,3.81
1039,-3.58,3.80
1040,-3.61,3.87
1041,-3.44,4.21
1042,-3.54,4.19
1043,-3.56,4.19
1044,-3.92,3.91
1045,-4.13,3.94
1046,-4.20,3.94
1047,-4.18,3.98
1048,-4.18,3.94
1049,-4.14,4.09
1050,-3.98,4.32
1051,-3.87,4.49
1052,-3.83,4.56
1053,-3.84,4.64
1054,-4.05,4.50
1055,-4.15,4.40
1056,-3.90,4.42
1057,-3.87,4.44
1058,-4.05,4.36
1059,-4.16,4.41
1100,-4.19,4.37
1101,-4.19,3.95
1102,-4.61,3.82
1103,-4.55,3.81
1104,-4.42,3.93
1105,-4.65,3.91
1106,-4.67,3.85
1107,-4.57,3.97
1108,-4.53,4.14
1109,-4.56,4.05
1110,-4.57,4.04
1111,-4.48,4.14
1112,-4.48,4.14
1113,-4.48,4.14
1114,-4.22,4.28
1115,-3.82,4.61
1116,-3.62,4.75
1117,-3.45,4.82
1118,-3.41,4.98
1119,-3.44,4.97
1120,-3.44,5.02
1121,-3.35,5.20
1122,-2.69,5.82
1123,-2.71,5.74
1124,-2.77,5.68
1125,-2.78,5.67
1126,-2.56,6.27
1127,-2.49,6.23
1128,-2.43,6.28
1129,-2.45,6.27
1130,-2.55,6.16
1300,-2.50,6.20
1301,-3.18,6.06
1302,-3.53,5.88
1303,-3.71,5.83
1304,-3.75,5.78
1305,-3.95,5.74
1306,-4.25,5.55
1307,-4.26,5.65
1308,-4.14,5.61
1309,-4.17,5.61
1310,-4.16,5.65
1311,-4.11,5.70
1312,-4.08,5.67
1313,-4.05,5.65
1314,-4.07,5.70
1315,-4.10,5.64
1316,-4.16,5.50
1317,-4.12,5.54
1318,-4.06,5.56
