minute,sh,sz
0930,0.01,0.16
0931,-0.37,0.16
0932,-0.37,-0.03
0933,-0.37,0.16
0934,0.65,1.02
0935,0.50,1.04
0936,0.61,1.19
0937,0.38,0.50
0938,0.02,0.39
0939,0.07,0.86
0940,0.38,1.42
0941,1.82,3.24
0942,1.46,2.62
0943,1.44,2.76
0944,1.47,3.11
0945,1.38,3.38
0946,2.06,5.04
0947,1.49,4.40
0948,1.28,4.41
0949,1.16,4.26
0950,0.67,3.66
0951,0.79,4.66
0952,0.74,4.61
0953,0.74,4.61
0954,0.74,4.61
0955,0.71,5.06
0956,0.50,4.95
0957,-0.33,4.05
0958,-0.18,4.65
0959,-0.17,5.13
1000,-0.17,5.65
1001,0.05,6.30
1002,-0.11,6.44
1003,-0.11,6.61
1004,0.43,8.64
1005,0.20,8.84
1006,0.14,9.10
1007,0.05,9.18
1008,-0.13,9.16
1009,-0.18,9.34
1010,-0.34,9.29
1011,-0.63,9.28
1012,-0.51,9.56
1013,-0.38,9.74
1014,-0.14,10.28
1015,0.10,10.88
1016,0.03,10.62
1017,0.00,10.62
1018,-0.04,10.90
1019,-0.01,11.00
1020,-0.17,10.96
1021,-0.19,11.19
1022,-0.17,11.33
1023,-0.20,11.41
1024,-0.14,11.90
1025,0.89,14.62
1026,1.69,15.86
1027,1.67,16.03
1028,1.67,16.03
1029,1.67,16.03
1030,3.08,17.29
1031,3.57,18.33
1032,3.49,18.15
1033,3.45,18.02
1034,3.48,18.09
1035,3.47,18.05
1036,3.53,18.45
1037,3.91,18.72
1038,4.02,18.83
1039,3.95,18.83
1040,4.18,19.03
1041,4.60,19.92
1042,4.78,19.80
1043,4.80,20.09
1044,4.66,19.98
1045,4.55,19.92
1046,4.42,19.86
1047,4.40,19.90
1048,4.41,19.94
1049,4.48,20.03
1050,4.62,20.11
1051,4.63,20.11
1052,4.66,20.16
1053,4.85,20.49
1054,4.88,20.61
1055,4.89,20.65
1056,4.89,20.65
1057,4.89,20.65
1058,4.73,20.76
1059,4.75,20.90
1100,4.82,21.13
1101,4.94,21.29
1102,4.98,21.40
1103,5.00,21.42
1104,5.01,21.49
1105,4.99,21.48
1106,4.62,21.29
1107,4.60,21.26
1108,4.60,21.39
1109,4.57,21.63
1110,4.58,21.73
1111,4.60,21.81
1112,4.54,21.91
1113,4.55,21.98
1114,4.55,22.04
1115,4.55,22.04
1116,4.46,22.08
1117,4.36,22.20
1118,4.25,22.22
1119,4.17,22.31
1120,4.15,22.37
1121,4.16,22.50
1122,4.14,22.57
1123,4.15,22.72
1124,4.18,22.81
1125,4.20,22.85
1126,4.20,22.85
1127,4.20,22.85
1128,4.28,23.02
1129,4.25,23.11
1130,4.23,23.07
1300,4.27,23.10
1301,3.89,23.14
1302,3.66,23.13
1303,3.50,23.19
1304,3.51,23.28
1305,3.50,23.25
1306,3.45,23.27
1307,3.34,23.42
1308,3.36,23.59
1309,3.33,23.72
1310,3.34,23.76
1311,3.19,23.71
1312,3.21,23.71
1313,3.26,23.75
1314,3.22,23.75
1315,3.27,23.79
1316,3.24,23.86
1317,3.03,23.85
1318,2.90,23.80
1319,2.84,23.85
1320,2.83,23.84
1321,2.76,23.72
1322,2.65,23.93
1323,2.69,24.08
1324,2.70,24.18
1325,2.73,24.28
1326,2.77,24.35
1327,2.79,24.40
1328,2.85,24.51
1329,2.90,24.52
1330,2.84,24.50
1331,2.45,24.08
1332,2.33,24.08
1333,2.32,24.24
1334,2.41,24.43
1335,2.47,24.54
1336,2.53,24.59
1337,2.47,24.65
1338,2.45,24.75
1339,2.44,24.80
1340,2.38,24.86
1341,2.31,24.96
1342,2.41,25.12
1343,2.47,25.13
1344,2.55,25.12
1345,2.54,25.11
1346,2.52,25.21
1347,2.52,25.23
1348,2.37,25.21
1349,2.30,25.22
1350,2.17,25.25
1351,2.12,25.22
1352,2.11,25.30
1353,2.11,25.30
1354,2.11,25.30
1355,2.11,25.52
1356,2.06,25.66
1357,2.08,25.82
1358,2.11,25.87
1359,2.15,25.96
1400,2.12,25.98
1401,2.15,25.90
1402,2.12,25.91
1403,2.21,25.97
1404,2.21,26.08
1405,2.24,26.13
1406,2.31,26.27
1407,2.31,26.34
1408,2.36,26.44
1409,2.35,26.49
1410,2.33,26.51
1411,2.35,26.44
1412,2.37,26.46
1413,2.34,26.51
1414,2.30,26.56
1415,2.28,26.56
1416,2.28,26.64
1417,2.26,26.62
1418,2.00,26.54
1419,1.97,26.64
1420,1.90,26.63
1421,1.84,26.69
1422,1.85,26.69
1423,1.86,26.76
1424,1.77,26.80
1425,1.65,26.80
1426,1.41,26.55
1427,1.09,26.34
1428,0.59,26.15
1429,0.24,26.14
1430,-0.06,26.34
1431,0.00,26.62
1432,-0.13,26.65
1433,-0.39,26.63
1434,-0.68,26.57
1435,-1.13,26.45
1436,-1.13,26.45
1437,-1.13,26.45
1438,-1.69,26.51
1439,-1.92,26.54
1440,-2.14,26.59
1441,-2.15,26.89
1442,-2.22,26.98
1443,-2.17,27.02
1444,-2.27,27.18
1445,-2.37,27.32
1446,-2.43,27.61
1447,-2.52,27.84
1448,-2.62,28.00
1449,-2.91,27.83
1450,-3.09,27.74
1451,-3.20,27.87
1452,-3.39,27.83
1453,-3.42,28.12
1454,-3.23,28.18
1455,-3.32,28.25
1456,-3.04,28.45
1457,-2.81,28.46
1458,-0.85,29.74
1459,-0.61,29.78
1500,0.37,30.85
