minute,sh,sz
0930,0.44,0.10
0931,0.44,0.66
0932,1.71,1.94
0933,1.56,2.90
0934,1.71,3.45
0935,2.29,4.69
0936,2.61,6.09
0937,2.12,5.56
0938,2.41,6.11
0939,2.31,5.97
0940,1.79,5.80
0941,1.91,5.59
0942,2.18,6.10
0943,2.58,6.20
0944,3.15,6.66
0945,2.70,5.91
0946,3.26,6.12
0947,2.96,6.21
0948,3.20,6.21
0949,3.93,6.79
0950,4.12,6.84
0951,3.85,6.38
0952,4.15,6.52
0953,4.37,6.66
0954,5.03,7.36
0955,5.13,7.67
0956,4.84,7.48
0957,5.13,7.78
0958,5.02,7.77
0959,4.95,7.91
1000,4.95,7.52
1001,4.92,7.56
1002,4.97,7.65
1003,5.17,7.89
1004,5.25,8.10
1005,5.16,8.06
1006,5.16,8.06
1007,4.90,7.89
1008,5.24,8.21
1009,5.32,8.42
1010,5.48,8.53
1011,5.35,8.67
1012,5.24,8.66
1013,5.30,8.60
1014,5.18,8.50
1015,5.06,8.38
1016,5.06,8.40
1017,5.18,8.66
1018,5.36,8.85
1019,5.44,8.85
1020,5.62,9.02
1021,5.72,9.40
1022,5.76,9.83
1023,5.70,10.09
1024,5.68,10.14
1025,5.76,10.16
1026,5.66,10.11
1027,5.51,9.71
1028,5.37,9.75
1029,5.37,9.80
1030,5.44,9.88
1031,5.34,9.85
1032,5.24,9.79
1033,5.35,10.02
1034,5.67,10.37
1035,5.67,10.52
1036,5.81,10.71
1037,5.48,10.51
1038,5.34,10.28
1039,5.24,10.26
1040,5.17,10.27
1041,5.05,10.06
1042,5.13,9.79
1043,5.05,9.79
1044,5.09,9.72
1045,5.12,9.80
1046,5.20,10.02
1047,5.11,10.08
1048,5.08,9.99
1049,5.08,10.04
1050,5.08,10.12
1051,4.56,9.42
1052,4.16,9.18
1053,4.29,9.19
1054,4.36,9.22
1055,4.43,9.33
1056,4.51,9.45
1057,4.51,9.56
1058,4.36,9.58
1059,4.28,9.60
1100,4.18,9.75
1101,4.20,9.75
1102,4.24,9.94
1103,4.26,10.06
1104,4.37,10.26
1105,4.35,10.45
1106,4.23,10.46
1107,3.99,10.35
1108,3.87,10.41
1109,3.83,10.44
1110,3.81,10.55
1111,3.81,10.57
1112,3.66,10.67
1113,3.64,10.76
1114,3.54,10.81
1115,3.54,10.91
1116,3.50,11.00
1117,3.63,11.15
1118,3.61,11.22
1119,3.57,11.29
1120,3.45,11.29
1121,3.42,11.44
1122,3.31,11.49
1123,3.27,11.55
1124,3.14,11.64
1125,3.13,11.73
1126,3.08,11.91
1127,3.05,12.00
1128,3.03,12.10
1129,3.17,12.13
1130,2.99,12.10
1300,3.04,12.17
1301,3.08,12.65
1302,2.74,12.62
1303,2.59,12.55
1304,2.48,12.59
1305,2.29,12.79
1306,2.28,13.01
1307,2.19,12.99
1308,1.95,12.94
1309,1.66,12.94
1310,1.67,12.98
1311,1.63,12.98
1312,1.49,12.91
1313,1.42,12.91
1314,1.35,12.97
1315,1.06,12.72
1316,0.96,12.75
1317,0.89,12.87
1318,0.88,13.06
1319,0.93,13.10
1320,0.74,13.12
1321,0.63,13.18
1322,0.70,13.24
1323,0.64,13.20
1324,0.45,13.14
1325,-0.06,12.51
1326,-0.16,12.36
1327,-0.08,12.63
1328,-0.22,12.85
1329,-0.12,12.97
1330,-0.10,13.02
1331,-0.30,13.01
1332,-0.34,13.09
1333,-0.44,13.25
1334,-0.35,13.29
1335,-0.43,13.53
1336,-0.22,13.76
1337,-0.25,13.70
1338,-0.31,13.63
1339,-0.37,13.61
1340,-0.23,13.69
1341,-0.04,13.76
1342,-0.22,13.69
1343,-0.23,13.76
1344,-0.22,13.85
1345,-0.34,13.88
1346,-0.38,13.88
1347,-0.41,13.95
1348,-0.58,14.01
1349,-0.66,14.06
1350,-0.62,14.10
1351,-0.77,14.21
1352,-0.81,14.24
1353,-0.85,14.26
1354,-0.93,14.31
1355,-1.06,14.42
1356,-1.17,14.27
1357,-1.24,14.29
1358,-1.34,14.25
1359,-1.45,14.14
1400,-1.44,14.15
1401,-1.44,13.94
1402,-1.43,14.11
1403,-1.48,14.16
1404,-1.51,14.24
1405,-1.54,14.21
1406,-1.46,14.41
1407,-1.38,14.67
1408,-1.45,14.73
1409,-1.47,14.73
1410,-1.45,14.86
1411,-1.21,15.07
1412,-0.95,15.28
1413,-1.10,15.29
1414,-1.21,15.37
1415,-1.27,15.40
1416,-1.31,15.32
1417,-1.33,15.36
1418,-1.45,15.32
1419,-1.43,15.29
1420,-1.66,15.36
1421,-1.94,15.31
1422,-2.02,15.35
1423,-2.06,15.56
1424,-2.07,15.59
1425,-2.12,15.70
1426,-2.04,15.82
1427,-1.95,15.98
1428,-1.95,16.22
1429,-2.01,16.38
1430,-2.04,16.39
1431,-2.10,16.60
1432,-1.69,17.03
1433,-1.59,17.19
1434,-1.89,16.91
1435,-1.79,16.99
1436,-1.88,16.80
1437,-1.86,16.71
1438,-2.07,16.59
1439,-1.91,16.51
1440,-2.26,16.28
1441,-2.43,16.21
1442,-2.41,16.38
1443,-2.44,16.42
1444,-2.55,16.46
1445,-2.63,16.45
1446,-2.42,16.55
1447,-2.47,16.45
1448,-2.64,16.33
1449,-2.82,16.14
1450,-2.84,16.27
1451,-2.84,16.51
1452,-2.91,16.51
1453,-3.07,16.57
1454,-2.86,16.53
1455,-2.96,16.57
1456,-2.75,16.65
1457,-3.17,16.48
1458,-2.57,17.12
1459,-2.34,17.39
1500,-1.16,18.53
