minute,sh,sz
0930,-0.58,-0.06
0931,-1.60,0.14
0932,-2.37,0.23
0933,-3.14,-0.05
0934,-4.89,-0.66
0935,-5.01,-0.30
0936,-4.71,0.07
0937,-5.10,-0.25
0938,-7.16,-1.12
0939,-6.97,-0.64
0940,-7.99,-1.53
0941,-8.36,-1.67
0942,-7.86,-1.27
0943,-8.08,-1.66
0944,-8.53,-2.46
0945,-8.58,-2.39
0946,-8.99,-2.70
0947,-9.88,-3.42
0948,-9.35,-2.71
0949,-9.40,-2.85
0950,-9.70,-2.92
0951,-9.97,-2.96
0952,-9.73,-2.47
0953,-10.16,-2.89
0954,-10.36,-3.06
0955,-10.70,-3.30
0956,-11.63,-3.94
0957,-11.67,-3.64
0958,-11.71,-3.52
0959,-11.78,-3.42
1000,-12.06,-3.51
1001,-12.87,-3.87
1002,-12.96,-3.70
1003,-12.87,-3.51
1004,-12.80,-3.45
1005,-13.07,-3.52
1006,-13.13,-3.54
1007,-13.52,-3.75
1008,-13.22,-3.19
1009,-13.31,-3.28
1010,-14.14,-4.14
1011,-14.09,-4.19
1012,-14.10,-4.23
1013,-14.52,-4.51
1014,-14.54,-4.57
1015,-14.48,-4.45
1016,-14.76,-4.74
1017,-14.89,-4.99
1018,-15.17,-5.34
1019,-15.51,-5.66
1020,-15.36,-5.71
1021,-15.60,-5.77
1022,-16.96,-6.60
1023,-16.33,-5.28
1024,-16.23,-5.18
1025,-15.90,-5.11
1026,-16.11,-5.14
1027,-16.36,-5.38
1028,-16.34,-5.33
1029,-16.80,-5.61
1030,-17.85,-6.26
1031,-20.01,-7.03
1032,-19.83,-6.42
1033,-19.75,-6.39
1034,-19.80,-6.71
1035,-19.53,-6.44
1036,-19.42,-6.48
1037,-19.26,-6.42
1038,-19.15,-6.49
1039,-19.58,-6.96
1040,-19.65,-7.07
1041,-20.02,-7.17
1042,-20.19,-7.24
1043,-20.41,-7.42
1044,-20.92,-7.74
1045,-21.05,-7.75
1046,-21.28,-7.85
1047,-21.26,-7.82
1048,-21.51,-7.92
1049,-22.49,-8.49
1050,-22.69,-8.39
1051,-22.91,-8.34
1052,-23.07,-8.34
1053,-23.94,-8.97
1054,-24.89,-9.25
1055,-26.81,-10.60
1056,-26.69,-10.09
1057,-26.21,-9.52
1058,-25.88,-9.19
1059,-25.92,-9.31
1100,-25.98,-9.42
1101,-25.90,-9.54
1102,-25.94,-9.68
1103,-25.64,-9.60
1104,-25.88,-9.89
1105,-26.02,-9.99
1106,-25.93,-9.98
1107,-25.99,-9.92
1108,-26.19,-9.88
1109,-26.10,-9.93
1110,-25.88,-9.77
1111,-25.78,-9.69
1112,-25.87,-9.70
1113,-25.86,-9.71
1114,-25.86,-9.79
1115,-26.03,-10.01
1116,-25.95,-10.01
1117,-25.92,-9.96
1118,-25.80,-9.92
1119,-24.95,-9.61
1120,-24.91,-9.55
1121,-24.84,-9.57
1122,-24.57,-9.48
1123,-25.36,-10.09
1124,-25.31,-10.04
1125,-25.35,-10.01
1126,-25.33,-10.01
1127,-25.35,-10.14
1128,-25.40,-10.14
1129,-25.41,-10.18
1130,-25.46,-10.18
1300,-25.32,-10.10
1301,-25.27,-9.97
1302,-25.20,-9.73
1303,-25.26,-9.86
1304,-25.28,-9.78
1305,-25.39,-9.65
1306,-25.42,-9.55
1307,-25.49,-9.61
1308,-25.47,-9.50
1309,-25.52,-9.44
1310,-25.60,-9.47
1311,-25.69,-9.41
1312,-25.69,-9.32
1313,-25.60,-9.18
1314,-25.81,-9.28
1315,-25.81,-9.67
1316,-26.24,-9.62
1317,-26.28,-9.59
1318,-26.43,-9.56
1319,-26.52,-9.60
1320,-26.55,-9.57
1321,-26.49,-9.41
1322,-26.60,-9.53
1323,-26.59,-9.56
1324,-26.61,-9.51
1325,-26.65,-9.46
1326,-26.57,-9.39
1327,-26.41,-9.41
1328,-26.40,-9.44
1329,-26.42,-9.49
1330,-26.46,-9.47
1331,-26.46,-9.49
1332,-26.46,-9.54
1333,-26.43,-9.55
1334,-26.41,-9.50
1335,-26.29,-9.50
1336,-26.11,-9.46
1337,-26.11,-9.49
1338,-26.07,-9.56
1339,-26.12,-9.68
1340,-26.21,-9.87
1341,-26.22,-9.88
1342,-26.09,-9.81
1343,-26.07,-9.85
1344,-26.02,-9.80
1345,-25.91,-9.84
1346,-25.90,-9.89
1347,-25.95,-9.92
1348,-25.85,-10.13
1349,-25.85,-10.13
1350,-25.87,-10.12
1351,-26.01,-10.27
1352,-26.05,-10.22
1353,-26.04,-10.22
1354,-26.15,-10.26
1355,-26.06,-10.14
1356,-26.06,-10.14
1357,-26.00,-10.01
1358,-25.97,-10.00
1359,-25.92,-10.00
1400,-25.96,-10.04
1401,-25.91,-10.00
1402,-25.91,-9.99
1403,-25.85,-9.89
1404,-25.81,-9.91
1405,-25.81,-9.88
1406,-25.72,-9.81
1407,-25.64,-9.80
1408,-25.64,-9.79
1409,-25.58,-9.66
1410,-24.99,-9.48
1411,-24.86,-9.53
1412,-24.99,-9.69
1413,-25.00,-9.56
1414,-25.03,-9.61
1415,-25.14,-9.67
1416,-25.21,-9.79
1417,-25.25,-9.77
1418,-25.29,-9.83
1419,-25.45,-9.97
1420,-25.71,-10.13
1421,-25.71,-10.14
1422,-25.67,-10.12
1423,-25.54,-9.93
1424,-25.44,-9.86
1425,-25.35,-9.80
1426,-25.39,-9.92
1427,-25.45,-9.96
1428,-25.34,-9.95
1429,-24.49,-9.58
1430,-24.43,-9.51
1431,-24.27,-9.51
1432,-24.29,-9.70
1433,-24.06,-9.68
1434,-24.20,-9.70
1435,-23.72,-9.57
1436,-23.78,-9.59
1437,-23.50,-9.56
1438,-23.63,-9.67
1439,-23.84,-9.88
1440,-24.04,-10.04
1441,-24.08,-9.98
1442,-24.14,-10.01
1443,-24.12,-9.96
1444,-24.11,-10.00
1445,-24.21,-10.12
1446,-24.37,-10.26
1447,-24.48,-10.29
1448,-24.59,-10.22
1449,-24.65,-10.16
1450,-24.77,-10.17
1451,-24.77,-10.23
1452,-24.85,-10.19
1453,-24.78,-10.05
1454,-24.89,-10.05
1455,-25.01,-9.97
1456,-25.08,-9.97
1457,-25.22,-10.10
1458,-24.36,-9.60
1459,-24.27,-9.36
1500,-23.30,-7.99
