minute,sh,sz
0930,-0.20,0.07
0931,-1.29,-0.49
0932,-0.97,0.26
0933,-1.51,-0.04
0934,-1.00,0.93
0935,-1.37,0.73
0936,-1.14,1.33
0937,-0.52,1.75
0938,-0.52,1.75
0939,-0.52,1.75
0940,-0.40,1.12
0941,-0.68,0.84
0942,-1.10,0.28
0943,-1.13,0.32
0944,-0.81,0.62
0945,-0.59,0.91
0946,-0.80,0.31
0947,-0.71,0.43
0948,-0.36,0.63
0949,0.09,1.03
0950,0.16,0.91
0951,0.19,0.85
0952,0.06,1.02
0953,0.06,1.02
0954,0.06,1.02
0955,0.14,0.64
0956,0.47,1.34
0957,0.49,1.43
0958,0.53,1.34
0959,1.01,1.94
1000,1.52,2.24
1001,1.51,2.23
1002,1.69,2.32
1003,1.69,2.24
1004,1.77,2.25
1005,1.91,2.14
1006,1.84,1.59
1007,1.90,1.49
1008,2.21,1.69
1009,2.25,1.63
1010,2.35,1.79
1011,2.35,1.79
1012,2.35,1.79
1013,2.77,2.17
1014,2.90,2.16
1015,2.85,2.17
1016,2.85,2.17
1017,2.85,2.17
1018,2.89,1.90
1019,2.82,1.92
1020,2.86,2.30
1021,3.26,2.72
1022,3.26,2.72
1023,3.26,2.72
1024,3.54,2.79
1025,3.51,2.72
1026,3.33,2.42
1027,3.36,2.50
1028,3.47,2.62
1029,3.40,2.63
1030,3.46,2.68
1031,3.40,2.63
1032,3.35,2.77
1033,3.31,2.79
1034,3.00,2.47
1035,2.79,2.36
1036,2.86,2.31
1037,2.86,2.31
1038,3.23,2.84
1039,3.16,2.98
1040,3.11,2.94
1041,3.03,2.86
1042,3.12,2.93
1043,2.98,2.88
1044,2.99,2.88
1045,2.91,3.10
1046,2.72,3.06
1047,2.71,3.06
1048,2.80,3.17
1049,2.71,3.14
1050,2.45,2.69
1051,2.57,2.77
1052,2.88,3.11
1053,2.93,3.11
1054,2.76,3.08
1055,2.57,3.21
1056,2.60,3.27
1057,2.63,3.23
1058,2.56,3.22
1059,2.63,3.29
1100,2.67,3.69
1101,2.69,3.64
1102,3.00,4.04
1103,3.26,4.23
1104,3.42,4.45
1105,3.46,4.40
1106,3.59,4.45
1107,3.66,4.49
1108,3.52,4.44
1109,3.56,4.49
1110,3.71,4.63
1111,3.81,4.86
1112,3.93,4.88
1113,3.94,4.90
1114,3.97,4.90
1115,4.01,4.88
1116,3.85,4.65
1117,3.93,4.68
1118,4.07,4.69
1119,4.19,4.68
1120,4.52,4.78
1121,4.79,4.90
1122,4.79,4.91
1123,4.94,4.91
1124,5.13,5.27
1125,5.30,5.36
1126,5.62,5.50
1127,5.66,5.47
1128,5.87,5.57
1129,5.87,5.57
1130,5.87,5.57
1300,5.93,5.60
1301,5.93,5.68
1302,5.93,5.31
1303,6.26,5.34
1304,6.39,5.34
1305,6.61,5.56
1306,6.61,5.56
1307,6.61,5.56
1308,7.03,5.73
1309,7.11,5.70
1310,7.22,5.75
1311,7.34,5.94
1312,7.41,5.97
1313,7.48,5.86
1314,7.48,5.86
1315,7.58,5.88
1316,7.67,5.94
1317,7.66,5.94
1318,7.91,6.02
1319,8.10,6.15
1320,8.21,6.16
1321,8.23,6.22
1322,8.28,6.18
1323,8.23,6.12
1324,8.11,5.98
1325,7.97,5.95
1326,7.96,5.99
1327,8.34,6.37
1328,8.38,6.58
1329,8.47,6.60
1330,8.32,6.52
1331,8.32,6.53
1332,7.95,6.34
1333,7.90,6.27
1334,8.05,6.35
1335,7.94,6.41
1336,7.97,6.53
1337,7.77,6.42
1338,7.86,6.43
1339,7.90,6.40
1340,8.05,6.47
1341,8.16,6.47
1342,8.21,6.47
1343,7.89,6.13
1344,7.90,6.10
1345,7.90,6.09
1346,7.81,6.10
1347,7.80,6.20
1348,7.63,6.25
1349,7.52,6.07
1350,7.58,6.18
1351,7.51,6.19
1352,7.40,6.13
1353,7.51,6.29
1354,7.59,6.44
1355,7.59,6.44
1356,7.52,6.39
1357,7.57,6.36
1358,7.75,6.57
1359,7.86,6.73
1400,7.71,6.64
1401,7.51,6.49
1402,7.65,6.66
1403,7.72,6.59
1404,7.68,6.50
1405,7.71,6.35
1406,7.55,6.25
1407,7.61,6.21
1408,7.67,6.37
1409,7.78,6.51
1410,7.83,6.65
1411,7.88,6.67
1412,7.87,6.64
1413,7.93,6.67
1414,8.00,6.72
1415,8.04,6.73
1416,8.08,6.64
1417,8.16,6.74
1418,8.26,6.80
1419,8.26,6.80
1420,8.36,7.00
1421,8.48,6.99
1422,8.55,7.07
1423,8.61,7.09
1424,8.66,7.14
1425,8.68,7.12
1426,8.69,7.03
1427,8.66,6.92
1428,8.34,6.66
1429,7.87,6.38
1430,7.93,6.44
1431,8.07,6.73
1432,8.03,6.81
1433,7.97,6.71
1434,8.08,6.81
1435,8.19,7.01
1436,8.16,7.18
1437,8.16,7.18
1438,8.16,7.18
1439,8.23,7.26
1440,8.26,7.27
1441,8.24,7.37
1442,8.34,7.70
1443,8.46,7.89
1444,8.43,7.84
1445,8.46,7.99
1446,8.45,8.06
1447,8.43,8.16
1448,8.77,8.23
1449,8.95,8.29
1450,9.11,8.31
1451,9.24,8.25
1452,9.43,8.29
1453,9.59,8.38
1454,9.61,8.41
1455,9.70,8.38
1456,9.66,8.39
1457,9.62,8.32
1458,10.35,8.77
1459,10.51,8.88
1500,11.61,9.91
